002236 大华股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2008/05/20	0.85	0.88	0.69	0.69	9918108	459282336.00
2008/05/21	0.74	0.79	0.73	0.79	3883133	174170944.00
2008/05/22	0.78	0.83	0.77	0.81	3094864	144697552.00
2008/05/23	0.79	0.82	0.74	0.74	2007746	91856112.00
2008/05/26	0.71	0.76	0.67	0.69	1083321	45973304.00
2008/05/27	0.69	0.72	0.67	0.70	648209	27516446.00
2008/05/28	0.69	0.73	0.68	0.73	550596	23491652.00
2008/05/29	0.73	0.83	0.73	0.79	1289680	59265056.00
2008/05/30	0.79	0.85	0.79	0.80	853755	40384352.00
2008/06/02	0.80	0.84	0.79	0.84	540688	25675906.00
2008/06/03	0.83	0.93	0.83	0.89	1021757	51115192.00
2008/06/04	0.89	0.91	0.85	0.89	573678	28348922.00
2008/06/05	0.87	0.95	0.87	0.88	579266	29343936.00
2008/06/06	0.88	0.92	0.88	0.92	473614	23819092.00
2008/06/10	0.89	0.91	0.79	0.82	953633	45911140.00
2008/06/11	0.81	0.84	0.76	0.77	969507	44719168.00
2008/06/12	0.76	0.78	0.73	0.77	396987	17756636.00
2008/06/13	0.77	0.81	0.73	0.75	435781	19658198.00
2008/06/16	0.76	0.76	0.64	0.64	1467274	60405932.00
2008/06/17	0.62	0.65	0.56	0.59	562233	21477402.00
2008/06/18	0.59	0.66	0.56	0.65	551736	21704182.00
2008/06/19	0.63	0.65	0.55	0.55	670035	24936378.00
2008/06/20	0.55	0.61	0.49	0.58	391202	14515671.00
2008/06/23	0.54	0.59	0.53	0.56	134596	4958124.50
2008/06/24	0.54	0.60	0.54	0.60	171903	6528983.00
2008/06/25	0.59	0.64	0.59	0.63	260496	10228699.00
2008/06/27	0.56	0.60	0.53	0.54	330186	12187952.00
2008/06/30	0.54	0.54	0.50	0.54	153684	5440340.00
2008/07/01	0.54	0.56	0.52	0.54	91234	3269590.75
2008/07/02	0.55	0.56	0.53	0.56	110411	4026764.00
2008/07/03	0.54	0.62	0.52	0.60	196983	7490890.00
2008/07/04	0.58	0.61	0.58	0.60	94308	3605669.00
2008/07/07	0.60	0.63	0.58	0.62	195465	7667272.50
2008/07/08	0.63	0.65	0.61	0.64	352753	14092043.00
2008/07/09	0.64	0.66	0.62	0.65	193841	7786677.50
2008/07/10	0.63	0.67	0.62	0.64	321251	12920854.00
2008/07/11	0.63	0.64	0.62	0.63	154695	6128946.50
2008/07/14	0.63	0.64	0.61	0.63	67516	2677505.00
2008/07/15	0.63	0.64	0.59	0.61	171296	6651866.50
2008/07/16	0.61	0.61	0.53	0.55	281620	10328674.00
2008/07/17	0.56	0.57	0.53	0.55	279090	10194244.00
2008/07/18	0.54	0.56	0.52	0.56	247708	8984289.00
2008/07/21	0.54	0.60	0.54	0.59	231165	8478895.00
2008/07/22	0.59	0.59	0.57	0.59	120739	4576309.50
2008/07/23	0.58	0.60	0.57	0.57	86430	3252217.75
2008/07/24	0.57	0.63	0.57	0.61	315025	12186533.00
2008/07/25	0.59	0.62	0.59	0.61	133414	5158427.00
2008/07/28	0.62	0.66	0.61	0.65	533346	21365594.00
2008/07/29	0.65	0.68	0.62	0.68	407812	16681341.00
2008/07/30	0.68	0.69	0.66	0.68	247178	10259938.00
2008/07/31	0.66	0.68	0.63	0.64	186250	7529114.00
2008/08/01	0.63	0.67	0.63	0.65	188778	7640212.50
2008/08/04	0.64	0.65	0.63	0.63	117784	4723548.00
2008/08/05	0.63	0.64	0.61	0.62	130070	5080710.00
2008/08/06	0.62	0.63	0.59	0.62	137369	5298369.50
2008/08/07	0.61	0.62	0.59	0.61	128168	4953475.00
2008/08/08	0.61	0.62	0.56	0.56	120628	4591839.50
2008/08/11	0.57	0.58	0.53	0.55	122020	4431732.50
2008/08/12	0.54	0.57	0.51	0.57	302428	10974910.00
2008/08/13	0.56	0.59	0.54	0.58	151443	5668279.00
2008/08/14	0.58	0.59	0.56	0.59	121726	4581619.00
2008/08/15	0.59	0.60	0.58	0.59	124996	4752390.00
2008/08/18	0.57	0.59	0.54	0.54	63739	2331333.00
2008/08/19	0.53	0.54	0.52	0.54	163400	5799496.00
2008/08/20	0.46	0.59	0.46	0.58	2386133	83887160.00
2008/08/21	0.54	0.60	0.54	0.59	987425	36763820.00
2008/08/22	0.58	0.59	0.54	0.56	338060	12416349.00
2008/08/25	0.56	0.56	0.51	0.51	450109	15961718.00
2008/08/26	0.49	0.53	0.49	0.52	451251	15805130.00
2008/08/27	0.52	0.53	0.49	0.51	199098	6892385.00
2008/08/28	0.51	0.51	0.47	0.51	155058	5301008.00
2008/08/29	0.51	0.53	0.50	0.52	106401	3725940.25
2008/09/01	0.51	0.51	0.46	0.49	161021	5424081.50
2008/09/02	0.47	0.48	0.44	0.46	171991	5634191.50
2008/09/03	0.45	0.45	0.42	0.42	229713	7277917.00
2008/09/04	0.42	0.44	0.40	0.43	117192	3662832.50
2008/09/05	0.41	0.42	0.40	0.41	91057	2795199.50
2008/09/08	0.40	0.41	0.36	0.36	216657	6447554.50
2008/09/09	0.36	0.39	0.36	0.38	75830	2235485.50
2008/09/10	0.38	0.40	0.37	0.39	78073	2320471.75
2008/09/12	0.36	0.40	0.36	0.39	631606	18945844.00
2008/09/16	0.39	0.40	0.37	0.39	95733	2871894.25
2008/09/17	0.38	0.40	0.38	0.39	115473	3460422.25
2008/09/18	0.38	0.39	0.33	0.38	162472	4709032.00
2008/09/19	0.44	0.46	0.42	0.46	310629	10023416.00
2008/09/22	0.46	0.51	0.43	0.46	415362	13894367.00
2008/09/23	0.43	0.44	0.40	0.41	258689	8124945.50
2008/09/24	0.39	0.41	0.39	0.41	166521	5069540.00
2008/09/25	0.42	0.45	0.40	0.41	147781	4645419.50
2008/09/26	0.42	0.42	0.38	0.41	169068	5144144.00
2008/10/06	0.41	0.41	0.38	0.38	66200	1991012.75
2008/10/07	0.36	0.39	0.36	0.38	47940	1413337.38
2008/10/08	0.36	0.38	0.36	0.38	142140	4219517.50
2008/10/09	0.38	0.39	0.37	0.38	47204	1401343.38
2008/10/10	0.37	0.38	0.35	0.38	140421	4064210.25
2008/10/13	0.38	0.39	0.35	0.39	106300	3097065.00
2008/10/14	0.40	0.41	0.37	0.39	67987	2025761.63
2008/10/15	0.38	0.39	0.37	0.39	50908	1507449.50
2008/10/16	0.36	0.39	0.36	0.36	59248	1737737.50
2008/10/17	0.36	0.38	0.35	0.37	84469	2449448.75
2008/10/20	0.37	0.38	0.36	0.38	55909	1645021.25
2008/10/21	0.38	0.41	0.38	0.41	89288	2713406.25
