002280 联络互动 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/08/21	2.82	2.82	2.58	2.64	8058149	300328544.00
2009/08/24	2.53	2.59	2.43	2.50	3626007	127348432.00
2009/08/25	2.48	2.59	2.44	2.52	2450670	86462744.00
2009/08/26	2.49	2.59	2.48	2.55	2037091	72335704.00
2009/08/27	2.53	2.58	2.48	2.49	1537967	54278784.00
2009/08/28	2.46	2.49	2.31	2.32	1687946	56464180.00
2009/08/31	2.26	2.27	2.17	2.17	1133312	35849708.00
2009/09/01	2.16	2.22	2.16	2.17	785092	24465938.00
2009/09/02	2.14	2.23	2.12	2.19	788185	24472796.00
2009/09/03	2.16	2.26	2.15	2.25	1307973	41053568.00
2009/09/04	2.23	2.26	2.21	2.24	887607	28186758.00
2009/09/07	2.23	2.34	2.23	2.26	1332500	43302076.00
2009/09/08	2.26	2.29	2.23	2.28	804591	25865382.00
2009/09/09	2.28	2.48	2.24	2.42	1708214	56622140.00
2009/09/10	2.40	2.56	2.38	2.50	2287290	80200784.00
2009/09/11	2.47	2.70	2.42	2.59	2332869	83837968.00
2009/09/14	2.60	2.64	2.54	2.59	1554241	56097956.00
2009/09/15	2.57	2.69	2.55	2.57	1410225	51283956.00
2009/09/16	2.55	2.67	2.55	2.62	1301826	47465844.00
2009/09/17	2.60	2.74	2.60	2.68	1295722	48115200.00
2009/09/18	2.68	2.81	2.63	2.65	1640182	62300248.00
2009/09/21	2.60	2.67	2.35	2.56	1123501	40106432.00
2009/09/22	2.55	2.59	2.47	2.47	662447	23403110.00
2009/09/23	2.47	2.55	2.46	2.48	660920	23191672.00
2009/09/24	2.50	2.63	2.46	2.60	1022772	36570084.00
2009/09/25	2.62	2.65	2.55	2.59	751937	27172382.00
2009/09/28	2.58	2.64	2.44	2.45	648678	23241158.00
2009/09/29	2.41	2.46	2.26	2.31	775874	25513072.00
2009/09/30	2.34	2.37	2.33	2.33	475629	15776518.00
2009/10/09	2.34	2.44	2.34	2.42	529902	17928944.00
2009/10/12	2.41	2.69	2.38	2.60	1482612	53088980.00
2009/10/13	2.58	2.63	2.54	2.61	626152	22612840.00
2009/10/14	2.61	2.68	2.57	2.58	883772	32394498.00
2009/10/15	2.60	2.74	2.58	2.70	1281659	47774056.00
2009/10/16	2.70	2.74	2.64	2.72	867433	32473566.00
2009/10/19	2.72	2.81	2.69	2.76	933142	35687880.00
