002294 信立泰 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/09/10	4.09	4.65	3.93	4.40	19347315	1253454976.00
2009/09/11	4.85	5.12	4.85	5.12	3406106	244492384.00
2009/09/14	5.83	5.91	5.52	5.87	9600630	759634304.00
2009/09/15	5.68	6.06	5.56	5.66	5743751	454881792.00
2009/09/16	5.59	5.83	5.50	5.70	3692084	288708512.00
2009/09/17	5.78	5.83	5.39	5.50	4756341	365854784.00
2009/09/18	5.45	5.83	5.40	5.44	3887006	301460864.00
2009/09/21	5.38	5.39	4.89	5.28	4034119	295306944.00
2009/09/22	5.19	5.32	5.16	5.20	2008652	148553264.00
2009/09/23	5.14	5.65	5.14	5.46	2818343	213720640.00
2009/09/24	5.48	5.64	5.26	5.31	1999928	151647360.00
2009/09/25	5.26	5.45	5.14	5.34	1403933	104510864.00
2009/09/28	5.38	5.86	5.35	5.49	2225305	172583440.00
2009/09/29	5.49	5.53	5.08	5.27	1632810	122225432.00
2009/09/30	5.37	5.50	5.09	5.15	1580801	116865672.00
2009/10/09	5.18	5.48	5.03	5.39	1798492	133752200.00
2009/10/12	5.35	5.63	5.25	5.43	1657960	126540424.00
2009/10/13	5.40	5.88	5.34	5.87	2148155	167016192.00
2009/10/14	5.99	6.36	5.83	5.99	2730578	222816256.00
2009/10/15	6.06	6.42	6.00	6.05	1998522	165615936.00
2009/10/16	6.11	6.32	5.99	6.32	1512943	124791720.00
2009/10/19	6.35	6.53	6.27	6.32	2171909	184136512.00
2009/10/20	6.33	7.23	6.29	7.23	3123963	274138208.00
2009/10/21	7.17	7.62	7.10	7.19	2634370	245525536.00
2009/10/22	7.10	8.04	7.08	7.73	2735936	262804032.00
2009/10/23	7.78	8.00	7.27	7.36	3547351	337725312.00
2009/10/26	7.35	7.78	7.29	7.39	2393283	227352832.00
2009/10/27	7.38	7.38	6.99	7.16	1954747	179077952.00
2009/10/28	7.08	7.89	7.08	7.82	2387113	226537376.00
2009/10/29	7.61	8.02	7.01	7.29	2689480	256957200.00
2009/10/30	7.29	7.67	7.05	7.12	3987818	370927040.00
2009/11/02	6.80	7.28	6.70	7.15	1963123	178595168.00
2009/11/03	7.15	7.26	7.08	7.18	1438435	132150368.00
2009/11/04	7.19	7.26	7.02	7.08	1396811	127600448.00
2009/11/05	7.03	7.25	6.96	7.10	1239741	113057624.00
2009/11/06	7.11	7.23	6.96	7.04	1531047	138840048.00
2009/11/09	6.99	7.43	6.97	7.43	2428279	225570208.00
2009/11/10	7.45	7.50	7.17	7.18	1570753	146061840.00
2009/11/11	7.13	7.26	7.11	7.24	911445	83887968.00
2009/11/12	7.26	7.42	7.08	7.11	1542358	142987968.00
2009/11/13	7.08	7.28	6.99	7.16	1173062	107294520.00
2009/11/16	7.19	7.32	7.14	7.26	1387480	128263248.00
2009/11/17	7.25	7.59	7.25	7.42	1900589	179430816.00
2009/11/18	7.43	7.48	7.20	7.24	1302484	120994128.00
2009/11/19	7.29	7.75	7.20	7.49	2309749	218874896.00
2009/11/20	7.40	7.60	7.37	7.49	1535785	145299040.00
2009/11/23	7.51	8.52	7.51	8.52	3149218	315441216.00
2009/11/24	8.41	8.60	7.76	7.86	2985148	301824288.00
2009/11/25	7.83	8.59	7.63	8.40	2770712	279208128.00
2009/11/26	8.36	8.38	7.62	7.65	2551951	253782032.00
2009/11/27	7.40	7.80	7.35	7.45	2138793	203133344.00
2009/11/30	7.42	7.75	7.42	7.72	1666863	159811168.00
2009/12/01	7.73	7.83	7.62	7.83	1388209	134692224.00
2009/12/02	7.90	8.21	7.80	7.94	1705713	170055056.00
2009/12/03	7.92	8.16	7.73	8.06	1570559	156073040.00
2009/12/04	8.00	8.04	7.29	7.48	2484818	238694288.00
2009/12/07	7.43	7.55	7.35	7.48	983369	92818632.00
2009/12/08	7.42	7.51	7.34	7.42	799341	75100744.00
2009/12/09	7.37	7.55	7.27	7.47	936146	88482632.00
2009/12/10	7.40	7.45	7.22	7.24	2466650	230091808.00
2009/12/11	7.26	7.39	7.22	7.24	1375710	127723104.00
