002354 天神娱乐 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2010/02/09	5.94	6.21	5.65	6.09	15527054	270204800.00
2010/02/10	5.68	5.84	5.51	5.65	8639947	145100048.00
2010/02/11	5.53	5.68	5.43	5.54	4471252	73344592.00
2010/02/12	5.60	5.73	5.52	5.67	4437664	73731664.00
2010/02/22	5.67	5.86	5.61	5.69	4206198	71477992.00
2010/02/23	5.64	5.67	5.51	5.66	2776892	45920048.00
2010/02/24	5.61	5.91	5.60	5.83	5202491	89158112.00
2010/02/25	5.84	6.21	5.79	6.21	6940741	122778472.00
2010/02/26	6.17	6.25	5.98	6.03	6423230	115738416.00
2010/03/01	6.04	6.24	6.02	6.17	3853386	69603648.00
2010/03/02	6.28	6.28	6.03	6.08	3112117	56249668.00
2010/03/03	6.03	6.14	5.99	6.11	1890089	33865884.00
2010/03/04	6.10	6.17	5.81	5.81	2620388	46138896.00
2010/03/05	5.82	5.96	5.78	5.94	2368296	40999908.00
2010/03/08	5.93	5.99	5.89	5.96	1303782	22876420.00
2010/03/09	5.93	5.94	5.83	5.92	1379509	23982494.00
2010/03/10	5.94	5.95	5.84	5.89	1200116	20854174.00
2010/03/11	5.86	5.94	5.75	5.91	1540553	26666084.00
2010/03/12	5.87	6.03	5.87	5.90	2503898	44031208.00
2010/03/15	5.87	5.89	5.75	5.84	1255751	21551544.00
2010/03/16	5.82	5.86	5.77	5.85	952435	16393549.00
2010/03/17	5.84	5.98	5.83	5.97	1739740	30514276.00
2010/03/18	5.98	6.17	5.92	6.13	4514431	80885496.00
2010/03/19	6.09	6.17	6.04	6.11	2877377	51782564.00
2010/03/22	6.08	6.24	6.01	6.07	1819716	32704654.00
2010/03/23	6.12	6.27	6.10	6.24	4140799	75492648.00
2010/03/24	6.33	6.90	6.33	6.90	8799079	173338992.00
2010/03/25	7.25	7.62	7.25	7.62	7697862	169033056.00
2010/03/26	7.63	7.89	7.36	7.79	6622015	147971840.00
2010/03/29	8.03	8.61	7.86	8.61	7349442	175758240.00
2010/03/30	8.63	9.50	8.53	9.32	8041099	210961344.00
2010/03/31	9.34	9.68	9.15	9.46	6580127	178797936.00
2010/04/01	9.46	10.18	9.26	10.15	6757931	188060544.00
2010/04/02	10.11	10.75	9.87	10.57	7572247	226191040.00
2010/04/06	10.39	10.39	9.48	9.78	7414336	211816144.00
2010/04/07	9.53	9.89	9.47	9.71	7211780	201740336.00
2010/04/08	9.48	9.66	9.34	9.62	6385258	175614048.00
2010/04/09	9.48	9.57	9.39	9.46	3900356	107024760.00
2010/04/12	9.50	9.71	9.21	9.29	5352765	146429888.00
2010/04/13	9.21	9.39	8.69	9.03	5155577	134897120.00
2010/04/14	8.95	9.21	8.89	9.08	2036716	53595404.00
2010/04/15	9.03	9.14	8.71	8.88	2458632	63485412.00
2010/04/16	8.81	9.11	8.78	9.03	2459798	64150348.00
2010/04/19	8.89	9.17	8.38	8.41	2635009	67559328.00
2010/04/20	8.31	8.48	8.18	8.43	2079521	50493404.00
2010/04/21	8.48	8.82	8.45	8.75	2891985	72674240.00
2010/04/22	8.67	8.95	8.50	8.67	2659897	67809984.00
2010/04/23	8.61	8.69	8.20	8.33	2351878	57576460.00
2010/04/26	8.36	8.66	8.31	8.43	1598502	39451348.00
2010/04/27	8.37	8.50	7.63	7.85	2632298	60810320.00
2010/04/28	7.75	7.89	7.54	7.76	1794569	40295764.00
2010/04/29	7.78	7.88	7.48	7.52	1738480	39294512.00
2010/04/30	7.50	7.82	7.36	7.70	2227926	49886424.00
