002399 海普瑞 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2010/05/06	49.75	56.63	49.44	52.62	22474978	3979548160.00
2010/05/07	51.94	56.90	51.90	53.43	10636545	1922656000.00
2010/05/10	51.00	51.01	47.88	47.88	1354500	219752400.00
2010/05/11	44.28	45.69	42.88	42.95	9327819	1370372864.00
2010/05/12	40.69	41.78	38.59	39.19	5437694	731831360.00
2010/05/13	38.50	40.37	37.56	40.22	4240265	563617152.00
2010/05/14	39.41	41.59	37.91	41.06	4808337	642068864.00
2010/05/17	39.59	43.71	39.44	41.00	5053690	712136128.00
2010/05/18	41.28	41.62	39.24	40.37	3015489	410055136.00
2010/05/19	39.91	42.40	39.73	41.22	3162264	440643552.00
2010/05/20	40.53	42.29	40.22	40.43	2573502	356134112.00
2010/05/21	39.13	42.23	38.52	41.69	3699072	505512416.00
2010/05/25	42.25	43.09	41.56	41.56	4641113	660133632.00
2010/05/26	41.16	41.58	39.97	40.88	2778918	380717024.00
2010/05/27	40.44	42.49	40.16	42.20	2601158	364261184.00
2010/05/28	42.51	44.53	42.25	43.88	3693422	542317056.00
2010/05/31	43.28	43.65	41.63	41.64	2243510	321773728.00
2010/06/01	41.00	41.78	40.19	41.00	1729944	238038288.00
2010/06/02	40.69	40.99	40.00	40.81	1143755	155805712.00
2010/06/03	41.13	41.15	39.97	40.00	1501789	205401488.00
2010/06/04	39.71	40.11	39.31	39.75	1067021	142653040.00
2010/06/07	38.66	40.19	38.52	40.00	1191711	158896016.00
2010/06/08	39.72	40.97	39.68	40.06	1033195	140266224.00
2010/06/09	40.21	41.00	40.07	40.97	1473425	201859216.00
2010/06/10	40.97	41.62	40.81	41.19	1310005	182098352.00
2010/06/11	41.02	41.58	40.07	40.12	1949940	268062912.00
2010/06/17	40.53	40.97	39.77	39.95	1268049	171948144.00
2010/06/18	40.53	40.84	39.47	39.70	1456871	197849568.00
2010/06/21	39.75	40.03	37.88	39.47	1321411	173680768.00
2010/06/22	39.48	41.38	39.33	40.56	1708420	234834192.00
2010/06/23	40.16	40.56	39.47	40.23	919432	124066968.00
2010/06/24	39.85	40.71	39.85	40.27	606969	82564984.00
2010/06/25	39.91	40.17	38.87	39.31	850578	113027200.00
2010/06/28	39.28	39.30	37.94	38.14	973746	126390416.00
2010/06/29	38.00	38.63	35.38	35.38	1727276	213414512.00
2010/06/30	34.78	35.03	34.00	34.45	909846	106149216.00
2010/07/01	34.44	34.69	33.92	33.99	490621	56964272.00
2010/07/02	33.99	34.34	30.69	32.05	1654758	181485776.00
2010/07/06	31.63	33.76	31.16	33.54	1292989	144515232.00
2010/07/07	33.50	33.50	32.73	33.47	634473	71662776.00
2010/07/08	33.95	34.88	33.57	34.28	829226	96673144.00
2010/07/09	34.37	35.31	33.78	34.88	881742	103749376.00
2010/07/12	35.06	38.11	34.88	36.90	1732895	217263056.00
2010/07/13	36.46	38.03	35.65	37.19	1212497	151141808.00
2010/07/14	37.25	37.78	36.53	36.68	792625	99151416.00
2010/07/15	36.31	36.75	35.38	35.40	947828	115559312.00
2010/07/16	35.07	35.28	33.35	34.57	1123435	130340088.00
2010/07/19	33.82	36.26	33.82	36.06	920958	110892848.00
2010/07/20	36.02	37.41	36.02	37.05	1094969	136517232.00
2010/07/21	37.09	37.83	36.74	37.14	909869	115136712.00
2010/07/22	37.18	38.36	37.18	38.06	908326	116882456.00
2010/07/23	38.28	38.38	37.43	37.95	765418	97743560.00
2010/07/26	37.96	39.43	37.96	39.22	1063513	139816112.00
2010/07/27	39.23	41.25	38.83	39.90	1520168	205625536.00
2010/07/28	39.64	40.53	39.49	40.40	980917	132727872.00
2010/07/29	40.73	40.74	39.56	40.38	1059897	143258144.00
2010/07/30	40.34	40.34	39.34	39.62	860710	115400304.00
2010/08/02	39.13	40.04	38.97	39.88	1530208	203917792.00
2010/08/03	39.91	40.00	38.50	38.50	1391701	184480160.00
2010/08/04	38.19	39.06	37.72	38.89	997491	128633616.00
2010/08/05	38.78	40.17	38.56	39.40	1453562	194397984.00
2010/08/06	38.50	39.94	38.13	39.83	2767597	361716160.00
2010/08/09	39.72	39.94	39.06	39.81	1912490	254414560.00
