002407 多氟多 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2010/05/18	7.11	7.18	6.72	6.80	6959275	265407824.00
2010/05/19	7.01	7.52	6.94	7.52	8924128	359342688.00
2010/05/20	7.55	7.87	7.34	7.51	10114015	419079168.00
2010/05/21	7.10	8.30	7.07	8.30	8761542	372862080.00
2010/05/24	8.38	9.17	8.37	8.93	8243217	396239648.00
2010/05/25	8.93	9.26	8.63	8.88	8230238	398518976.00
2010/05/26	8.79	8.99	8.55	8.72	5106667	243047920.00
2010/05/27	8.72	9.17	8.47	9.03	6766650	327637600.00
2010/05/28	8.92	8.94	8.41	8.49	6896076	323866432.00
2010/05/31	8.69	9.34	8.61	8.64	6627157	322023136.00
2010/06/01	8.61	8.92	8.17	8.66	4797202	222396576.00
2010/06/02	8.62	9.56	8.35	9.54	7255617	355788576.00
2010/06/03	9.42	9.89	9.26	9.36	5976167	308088384.00
2010/06/04	9.26	9.70	9.12	9.62	3628587	185440432.00
2010/06/07	9.42	10.09	9.41	9.87	4365457	229748656.00
2010/06/08	9.80	9.97	9.55	9.63	3343997	175693216.00
2010/06/09	9.63	9.84	9.38	9.50	3424093	177875264.00
2010/06/10	9.42	9.97	9.42	9.78	3781123	198430352.00
2010/06/11	9.81	9.90	9.52	9.57	2870953	149948352.00
2010/06/17	9.65	9.78	8.62	8.67	4711626	231849296.00
2010/06/18	8.62	8.75	8.34	8.48	2853181	132876728.00
2010/06/21	8.45	8.84	8.18	8.80	2326643	108923576.00
2010/06/22	8.70	9.13	8.65	8.91	2661486	128615760.00
2010/06/23	8.82	9.01	8.65	8.88	1849011	88589272.00
2010/06/24	8.99	9.12	8.87	8.97	1895016	92689064.00
2010/06/25	8.88	8.88	8.52	8.68	1407754	66464476.00
2010/06/28	8.62	8.70	8.27	8.32	1348766	62160100.00
2010/06/29	8.36	8.44	7.73	7.74	2013192	88020688.00
2010/06/30	7.59	7.70	7.44	7.62	1417548	58682848.00
2010/07/01	7.67	7.80	7.55	7.61	1578410	66284012.00
2010/07/02	7.55	7.62	7.26	7.53	1745263	71026704.00
2010/07/05	7.39	7.66	7.22	7.59	1540831	63244940.00
2010/07/06	7.60	8.09	7.49	7.85	1808078	77605672.00
2010/07/07	7.89	8.22	7.89	8.05	1675644	73537824.00
2010/07/09	8.20	8.28	7.84	8.20	2324203	102592328.00
2010/07/12	8.17	8.36	7.99	8.34	1774669	79433112.00
2010/07/13	8.20	8.39	8.01	8.33	1536375	68761872.00
2010/07/14	8.31	8.41	8.02	8.09	1481709	66215624.00
2010/07/15	8.05	8.15	7.68	7.71	1283022	55407876.00
2010/07/16	7.68	7.78	7.51	7.73	1106520	46065460.00
2010/07/19	7.65	7.87	7.59	7.85	862110	36588472.00
2010/07/20	7.84	8.67	7.84	8.63	3060669	140111248.00
2010/07/21	8.48	8.76	8.48	8.60	2831306	132698952.00
2010/07/22	8.26	8.72	8.21	8.61	3712963	169858544.00
2010/07/23	8.48	8.58	8.30	8.56	2085900	95623712.00
2010/07/26	8.63	8.78	8.58	8.67	2065010	97410144.00
2010/07/27	8.65	8.93	8.65	8.80	2734403	130717480.00
2010/07/28	8.76	9.06	8.67	9.01	2086471	100387336.00
2010/07/29	8.96	9.10	8.80	9.01	1397752	67793400.00
2010/07/30	8.92	9.00	8.81	8.90	1111859	53633828.00
2010/08/02	8.91	9.09	8.84	8.99	1307659	63737204.00
2010/08/03	9.02	9.22	8.90	8.91	1360957	66495892.00
2010/08/04	8.91	9.12	8.84	9.03	1626654	79138640.00
2010/08/05	9.03	9.25	8.95	9.15	1662395	82295728.00
2010/08/06	9.05	9.22	8.99	9.15	1372053	67988104.00
2010/08/09	9.18	9.18	8.90	9.01	2211728	107745632.00
2010/08/10	8.99	8.99	8.66	8.66	1347369	64553468.00
2010/08/11	8.66	8.86	8.55	8.86	1336991	63096140.00
2010/08/12	8.76	9.01	8.71	8.86	1184431	56985364.00
2010/08/13	8.79	9.18	8.79	9.14	1886364	92248216.00
2010/08/16	9.14	9.32	8.95	9.26	1545291	76808760.00
2010/08/17	9.27	9.58	9.11	9.41	2356527	119272096.00
2010/08/18	9.32	9.63	9.17	9.48	4300070	218587296.00
2010/08/19	9.42	9.47	9.20	9.24	1996693	100996832.00
2010/08/20	9.19	9.70	9.07	9.41	2272200	115188952.00
2010/08/23	9.55	9.69	9.32	9.61	2406466	124191040.00
2010/08/24	9.80	9.80	9.41	9.43	2319087	119726216.00
2010/08/25	9.24	9.30	9.03	9.04	2320957	115163752.00
2010/08/26	9.08	9.14	8.84	8.97	1261898	61454836.00
2010/08/27	8.91	9.26	8.91	9.16	1202476	59612996.00
2010/08/30	9.18	9.40	9.06	9.37	1621906	81269552.00
2010/08/31	9.34	9.47	9.16	9.36	2002302	101068760.00
2010/09/01	9.34	9.63	9.17	9.45	2486660	126979424.00
2010/09/02	9.45	9.61	9.36	9.47	1537753	78814480.00
2010/09/03	9.50	10.46	9.42	10.46	4785862	265305360.00
2010/09/06	10.89	10.89	9.92	10.20	4348922	245360896.00
2010/09/07	10.04	10.37	9.93	10.07	2010736	109817128.00
