002415 海康威视 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2010/05/28	3.16	3.44	3.10	3.38	34098354	2723697152.00
2010/05/31	3.60	3.70	3.47	3.55	17227873	1471291648.00
2010/06/01	3.61	3.72	3.50	3.68	10994680	945440192.00
2010/06/02	3.52	3.63	3.40	3.61	9496264	800740032.00
2010/06/03	3.61	3.65	3.33	3.36	7560522	635491840.00
2010/06/04	3.28	3.43	3.27	3.33	5087772	412869120.00
2010/06/07	3.18	3.42	3.18	3.34	4676806	377475872.00
2010/06/08	3.31	3.41	3.13	3.23	5514313	437974176.00
2010/06/09	3.22	3.40	3.19	3.34	4495839	362423040.00
2010/06/10	3.30	3.51	3.29	3.47	3619226	299970080.00
2010/06/11	3.49	3.54	3.42	3.50	3785070	317148128.00
2010/06/17	3.51	3.53	3.23	3.27	3301453	269617216.00
2010/06/18	3.21	3.32	3.19	3.25	1923900	152940864.00
2010/06/21	3.22	3.24	2.94	3.22	2365497	182506384.00
2010/06/22	3.16	3.24	3.10	3.13	1190746	93032928.00
2010/06/23	3.08	3.19	3.05	3.17	1290247	100205368.00
2010/06/24	3.15	3.21	3.15	3.19	1178116	92352744.00
2010/06/28	3.19	3.19	2.98	2.99	2241503	170509632.00
2010/06/29	2.99	2.99	2.67	2.69	1927304	138013168.00
2010/06/30	2.65	2.74	2.49	2.68	1276316	86760720.00
2010/07/01	2.66	2.71	2.61	2.63	704792	48559084.00
2010/07/02	2.61	2.64	2.36	2.53	1759315	115177320.00
2010/07/05	2.44	2.60	2.39	2.60	1042355	69480920.00
2010/07/06	2.55	2.69	2.51	2.64	1010688	68965576.00
2010/07/07	2.67	2.69	2.56	2.69	862828	58507844.00
2010/07/08	2.72	2.74	2.63	2.70	938342	64832448.00
2010/07/09	2.70	2.85	2.66	2.80	882125	62462360.00
2010/07/12	2.82	2.82	2.72	2.78	1288006	90510936.00
2010/07/13	2.74	2.74	2.63	2.65	600891	41324836.00
2010/07/14	2.68	2.71	2.61	2.67	836079	57294780.00
2010/07/15	2.67	2.71	2.60	2.60	501714	34141488.00
2010/07/16	2.59	2.59	2.46	2.50	1196082	78296800.00
2010/07/19	2.47	2.55	2.45	2.54	742578	48763236.00
2010/07/20	2.52	2.71	2.52	2.70	1075182	73404688.00
2010/07/21	2.70	2.81	2.67	2.74	1300242	91299888.00
2010/07/22	2.71	2.76	2.68	2.76	623032	43477272.00
2010/07/23	2.78	2.83	2.71	2.73	856108	60157896.00
2010/07/26	2.75	2.79	2.72	2.79	1534983	107870600.00
2010/07/27	2.78	2.81	2.73	2.73	907482	63868020.00
2010/07/28	2.70	2.82	2.69	2.81	1348915	94893856.00
2010/07/29	2.82	2.90	2.82	2.86	1392480	100273536.00
2010/07/30	2.86	2.86	2.77	2.83	914186	65169612.00
2010/08/02	2.83	2.99	2.82	2.98	1515382	111261384.00
2010/08/03	2.98	3.09	2.95	3.04	1532926	115667544.00
2010/08/04	3.02	3.14	3.00	3.14	1232602	93296688.00
2010/08/05	3.14	3.18	3.09	3.12	812931	62380568.00
2010/08/06	3.10	3.31	3.09	3.27	1380084	108745424.00
2010/08/09	3.27	3.40	3.24	3.34	874314	70593488.00
2010/08/10	3.32	3.35	3.14	3.17	961560	75454400.00
2010/08/11	3.13	3.26	3.08	3.19	597507	46418604.00
2010/08/12	3.17	3.20	3.05	3.07	611378	46917756.00
2010/08/13	3.09	3.16	3.07	3.16	646039	49614632.00
2010/08/16	3.19	3.21	3.13	3.20	857393	66640872.00
2010/08/17	3.20	3.41	3.20	3.27	1107421	89068592.00
2010/08/18	3.27	3.29	3.15	3.15	914689	71483952.00
2010/08/19	3.13	3.22	3.13	3.15	640827	49742596.00
2010/08/20	3.13	3.18	3.06	3.08	720544	55012488.00
2010/08/23	3.08	3.11	2.97	3.05	1019768	76538032.00
2010/08/24	3.05	3.14	3.01	3.11	592660	45349564.00
2010/08/25	3.08	3.20	3.02	3.07	837734	64743244.00
2010/08/26	3.07	3.23	3.07	3.17	761753	59091564.00
2010/08/27	3.17	3.26	3.11	3.18	1077652	84221240.00
2010/08/30	3.18	3.34	3.13	3.31	3128246	246728176.00
2010/08/31	3.28	3.33	3.21	3.29	1623920	129319176.00
2010/09/01	3.29	3.32	2.85	2.86	4789660	356998752.00
2010/09/02	2.96	3.02	2.86	2.89	3705923	273093664.00
2010/09/03	2.89	3.02	2.89	2.96	1367292	101075392.00
2010/09/06	2.98	2.99	2.80	2.91	2346120	169572608.00
2010/09/07	2.89	2.91	2.83	2.88	1362726	98390448.00
2010/09/08	2.88	2.94	2.85	2.94	1332238	96854896.00
2010/09/09	2.93	2.95	2.82	2.84	1796631	129653480.00
2010/09/10	2.83	2.88	2.73	2.76	1598394	112849112.00
2010/09/13	2.78	2.92	2.76	2.91	2112398	152856400.00
2010/09/14	2.93	3.03	2.90	3.01	1710958	126869848.00
2010/09/15	3.02	3.03	2.80	2.81	1398147	101541848.00
2010/09/16	2.82	2.88	2.71	2.73	1702374	119822864.00
2010/09/17	2.75	2.80	2.66	2.73	1310381	91428016.00
2010/09/20	2.73	2.78	2.72	2.75	1239961	86880688.00
2010/09/21	2.76	2.79	2.69	2.77	829465	57750300.00
2010/09/27	2.79	2.89	2.77	2.85	900984	64607092.00
2010/09/28	2.84	2.91	2.79	2.88	1312239	94519072.00
2010/09/29	2.88	2.90	2.79	2.80	858430	61640056.00
2010/09/30	2.83	2.91	2.80	2.87	1086223	78226600.00
2010/10/08	2.91	2.95	2.86	2.94	1677721	122686320.00
2010/10/11	2.91	3.01	2.79	2.83	2322748	168350672.00
2010/10/12	2.83	2.87	2.78	2.86	1334494	95151720.00
2010/10/13	2.83	2.94	2.81	2.93	1169071	84515552.00
2010/10/14	2.92	2.93	2.74	2.74	1173492	83448976.00
2010/10/15	2.74	2.77	2.63	2.74	1853351	127742256.00
2010/10/18	2.73	2.74	2.53	2.63	1940724	129605888.00
2010/10/19	2.63	2.79	2.61	2.77	1532319	107140312.00
2010/10/20	2.69	2.84	2.69	2.77	1058350	75181208.00
2010/10/21	2.77	2.88	2.77	2.79	1819864	130549000.00
2010/10/22	2.81	2.86	2.76	2.79	1418239	101060488.00
2010/10/25	2.81	2.94	2.80	2.92	2672614	194008192.00
2010/10/26	2.91	2.99	2.88	2.97	1755599	129380768.00
2010/10/27	3.00	3.03	2.86	2.89	1456015	107363264.00
2010/10/28	2.88	3.30	2.88	3.30	4719102	371393280.00
2010/10/29	3.36	3.69	3.33	3.51	5041846	423549696.00
2010/11/01	3.49	3.64	3.47	3.59	2869810	243750912.00
2010/11/02	3.59	3.59	3.42	3.52	1710456	142695568.00
2010/11/03	3.48	3.64	3.36	3.61	2065345	174411072.00
2010/11/04	3.61	3.90	3.55	3.86	2789494	246779168.00
2010/11/05	3.80	3.90	3.72	3.81	2157845	192071152.00
2010/11/08	3.86	3.95	3.73	3.92	2205863	197837280.00
2010/11/09	3.86	3.99	3.83	3.88	1222765	110968712.00
2010/11/10	3.91	4.24	3.87	4.04	1319048	124403440.00
2010/11/11	4.01	4.46	3.94	4.29	1644040	160838832.00
2010/11/12	4.30	4.63	4.08	4.08	2373477	232877360.00
2010/11/15	4.19	4.39	4.09	4.36	1323581	128935328.00
2010/11/16	4.45	4.69	4.14	4.33	1557549	155641264.00
