002424 贵州百灵 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2010/06/03	3.83	4.04	3.52	3.58	18652387	775026944.00
2010/06/04	3.73	3.99	3.66	3.89	13716611	583083136.00
2010/06/07	3.71	3.80	3.63	3.74	9008203	377983712.00
2010/06/08	3.73	3.91	3.70	3.86	7601878	325174432.00
2010/06/09	3.89	4.09	3.83	3.90	8441649	373685152.00
2010/06/10	3.93	4.35	3.92	4.35	7501347	343818240.00
2010/06/11	4.46	4.59	4.32	4.46	9131439	445719904.00
2010/06/17	4.42	4.54	4.01	4.04	7561811	358629312.00
2010/06/18	4.00	4.00	3.58	3.66	6082520	258453840.00
2010/06/21	3.63	3.87	3.55	3.80	3692358	155106960.00
2010/06/22	3.75	3.87	3.68	3.69	2646614	112134432.00
2010/06/23	3.63	3.85	3.63	3.78	2389278	100912928.00
2010/06/24	3.78	3.88	3.76	3.86	2419421	103873520.00
2010/06/25	3.82	3.85	3.63	3.70	2572594	108118232.00
2010/06/28	3.72	3.78	3.65	3.72	1651359	69207448.00
2010/06/29	3.75	3.75	3.47	3.59	2911030	118484096.00
2010/06/30	3.52	3.62	3.50	3.60	1203863	48651680.00
2010/07/01	3.58	3.67	3.51	3.54	1313710	53418804.00
2010/07/02	3.52	3.54	3.12	3.13	4491173	165619824.00
2010/07/05	3.00	3.12	2.94	3.05	1848572	65362668.00
2010/07/07	3.13	3.23	3.10	3.20	2457126	89886336.00
2010/07/08	3.23	3.37	3.21	3.30	2200701	83205768.00
2010/07/09	3.30	3.44	3.24	3.42	2043524	78453992.00
2010/07/12	3.44	3.46	3.32	3.37	1494786	57756864.00
2010/07/13	3.32	3.37	3.21	3.23	1716763	64336808.00
2010/07/14	3.26	3.40	3.22	3.38	3078448	117026976.00
2010/07/15	3.32	3.49	3.29	3.32	2010366	78048704.00
2010/07/16	3.29	3.42	3.22	3.39	1230465	46729292.00
2010/07/19	3.31	3.45	3.30	3.42	1273905	49502716.00
2010/07/20	3.39	3.57	3.39	3.52	1597890	63605228.00
2010/07/21	3.52	3.57	3.47	3.49	1318198	52675512.00
2010/07/22	3.48	3.65	3.48	3.64	1364922	55264564.00
2010/07/23	3.63	3.65	3.55	3.62	1425362	58011776.00
2010/07/26	3.60	3.65	3.55	3.61	835400	34027136.00
2010/07/27	3.58	3.65	3.56	3.61	936392	38233340.00
2010/07/28	3.58	3.76	3.56	3.72	1503688	62761424.00
2010/07/29	3.73	3.74	3.65	3.70	924030	38427368.00
2010/07/30	3.70	3.77	3.65	3.73	806270	33779380.00
2010/08/02	3.73	3.87	3.71	3.83	1531989	65465568.00
2010/08/03	3.82	3.89	3.71	3.71	835291	35409580.00
2010/08/04	3.69	3.77	3.63	3.73	762974	31671996.00
2010/08/05	3.75	3.78	3.69	3.72	738388	31146300.00
2010/08/06	3.73	3.83	3.73	3.81	722386	30823246.00
2010/08/09	3.82	3.98	3.82	3.92	1490454	65417084.00
2010/08/10	3.90	3.94	3.68	3.68	1357524	57954016.00
2010/08/11	3.71	3.80	3.68	3.73	769063	32254220.00
2010/08/12	3.66	3.75	3.62	3.62	868884	36057284.00
2010/08/13	3.64	3.85	3.58	3.82	1877563	77970240.00
2010/08/16	3.81	3.90	3.76	3.87	2014501	87161248.00
2010/08/17	3.87	3.87	3.80	3.85	1038066	44565192.00
2010/08/18	3.85	3.86	3.72	3.74	1548838	65535380.00
2010/08/19	3.75	3.78	3.64	3.78	3005772	125714848.00
2010/08/20	3.75	3.83	3.69	3.79	2570525	109347488.00
2010/08/23	3.83	3.84	3.69	3.83	2196940	93301024.00
2010/08/24	3.84	4.27	3.83	4.23	4704729	212194080.00
2010/08/25	4.19	4.19	4.00	4.02	3817898	173637616.00
2010/08/26	4.10	4.42	4.03	4.34	4433984	209438176.00
2010/08/27	4.35	4.52	4.25	4.38	3363844	163544992.00
2010/08/30	4.46	4.49	4.36	4.41	3583166	174126672.00
2010/08/31	4.40	4.72	4.37	4.60	4253435	211655584.00
2010/09/01	4.60	4.60	4.35	4.46	3845331	188398752.00
2010/09/02	4.47	4.60	4.35	4.53	2692916	133831168.00
2010/09/03	4.46	4.68	4.41	4.53	6097947	302027232.00
2010/09/06	4.54	4.56	4.30	4.46	3950868	192332096.00
2010/09/07	4.48	4.70	4.44	4.64	4285390	215994896.00
2010/09/08	4.62	4.64	4.55	4.61	2485392	124605696.00
2010/09/09	4.61	4.72	4.43	4.47	3627197	180927520.00
2010/09/13	4.68	4.86	4.63	4.71	5015833	259578624.00
2010/09/14	4.70	4.93	4.67	4.85	3808076	199768592.00
2010/09/15	4.85	4.85	4.64	4.65	2686142	138919904.00
2010/09/16	4.62	4.70	4.42	4.49	3272419	162556592.00
2010/09/17	4.49	4.59	4.44	4.54	1980282	98116584.00
2010/09/20	4.43	4.46	4.25	4.30	2743790	131662040.00
2010/09/21	4.29	4.33	4.04	4.09	2507426	116114824.00
2010/09/27	4.14	4.37	4.12	4.34	2381490	111760960.00
2010/09/28	4.28	4.40	4.26	4.37	1262612	60587644.00
2010/09/29	4.35	4.43	4.21	4.23	1154933	54540256.00
2010/09/30	4.27	4.39	4.22	4.36	1206411	57247888.00
2010/10/08	4.40	4.49	4.32	4.44	1814513	88189504.00
2010/10/11	4.44	4.44	4.24	4.32	2180220	103944408.00
2010/10/12	4.32	4.36	4.24	4.25	1653539	78252336.00
2010/10/13	4.25	4.28	4.12	4.17	1697856	78425728.00
2010/10/15	4.04	4.12	3.83	3.83	3520098	156172976.00
2010/10/18	3.79	3.96	3.70	3.92	2056745	88631560.00
2010/10/19	3.92	4.03	3.86	4.00	1847951	82062208.00
2010/10/20	4.03	4.29	4.00	4.25	3047847	141244896.00
2010/10/21	4.23	4.39	4.23	4.33	2339351	111774456.00
