002470 金正大 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2010/09/08	5.92	7.15	5.78	6.63	68265456	1826531840.00
2010/09/09	6.30	6.59	5.95	6.01	37045753	971510400.00
2010/09/10	6.15	6.33	6.05	6.12	24192747	629842368.00
2010/09/13	5.85	5.92	5.50	5.65	18914520	452717120.00
2010/09/14	5.64	5.77	5.50	5.58	12389120	295004608.00
2010/09/15	5.52	5.54	5.05	5.16	15765395	355704352.00
2010/09/16	5.20	5.44	5.20	5.32	10933820	246525488.00
2010/09/17	5.32	5.32	5.04	5.06	7581458	164575680.00
2010/09/20	5.00	5.10	4.80	4.82	7463056	155336000.00
2010/09/21	4.83	4.85	4.55	4.60	7754931	154367312.00
2010/09/27	4.60	4.77	4.60	4.67	5225986	104965584.00
2010/09/28	4.67	4.67	4.50	4.51	6332488	123156216.00
2010/09/29	4.50	4.50	4.27	4.45	7745947	145459808.00
2010/09/30	4.45	4.60	4.38	4.60	5927218	114796520.00
2010/10/08	4.71	4.73	4.60	4.66	5686328	113689240.00
2010/10/11	4.66	5.11	4.66	4.99	10087619	212775632.00
2010/10/12	4.94	4.94	4.84	4.91	5460107	113795048.00
2010/10/13	4.91	4.95	4.71	4.74	6499320	132187760.00
2010/10/14	4.76	4.81	4.63	4.64	4866302	98248448.00
2010/10/15	4.65	4.67	4.50	4.54	5005452	97766232.00
2010/10/18	4.59	4.82	4.37	4.79	8172003	160061088.00
2010/10/19	4.71	4.92	4.70	4.83	6738333	138923776.00
2010/10/20	4.69	4.83	4.63	4.71	5688742	115219064.00
2010/10/21	4.74	4.84	4.71	4.79	4649626	95030968.00
2010/10/22	4.81	4.92	4.81	4.85	5452772	113208776.00
2010/10/25	4.89	4.92	4.80	4.87	6127224	126915752.00
2010/10/26	4.85	4.87	4.72	4.77	5704303	116298352.00
2010/10/27	4.77	4.87	4.71	4.76	4713320	96525216.00
2010/10/29	4.80	5.05	4.75	4.99	8193508	172178304.00
2010/11/01	5.03	5.04	4.95	5.03	7440503	158634784.00
2010/11/02	5.03	5.17	4.97	5.00	7860519	170255488.00
2010/11/03	5.00	5.00	4.81	4.81	5114231	106471944.00
2010/11/04	4.80	4.91	4.79	4.87	3293479	68279920.00
2010/11/05	4.89	4.91	4.83	4.91	4751199	98745936.00
2010/11/08	4.92	5.07	4.90	5.07	6323006	134723008.00
2010/11/09	5.08	5.16	5.05	5.11	7359181	159694272.00
2010/11/10	5.12	5.60	5.06	5.38	12127170	273561504.00
2010/11/11	5.33	5.46	5.22	5.26	8544087	194413664.00
2010/11/12	5.20	5.22	4.75	4.77	8423775	179591856.00
2010/11/15	4.78	4.96	4.75	4.95	4173446	86528360.00
2010/11/16	4.97	5.11	4.82	4.99	6010095	128107800.00
2010/11/17	4.88	4.98	4.75	4.78	3788246	78382096.00
2010/11/18	4.81	4.89	4.76	4.84	2145099	44126196.00
2010/11/19	4.88	4.92	4.80	4.92	3223443	66974768.00
2010/11/22	4.90	5.15	4.84	5.11	6896556	148779872.00
2010/11/23	5.10	5.10	4.85	5.05	4144795	87949920.00
2010/11/24	4.99	5.15	4.95	5.14	5031344	108945824.00
2010/11/25	5.16	5.22	5.07	5.12	4240873	92615824.00
2010/11/26	5.12	5.12	4.99	5.03	3286225	70606328.00
2010/11/29	5.01	5.03	4.93	5.01	2958219	62713880.00
2010/11/30	5.01	5.07	4.74	4.83	4058443	84499536.00
2010/12/01	4.82	4.82	4.75	4.78	1909752	39030784.00
2010/12/02	4.85	5.03	4.80	4.94	4136417	86930608.00
2010/12/03	4.93	5.17	4.87	5.14	10040233	217252864.00
