002493 荣盛石化 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2010/11/02	9.19	10.35	9.13	10.06	34528555	2102503168.00
2010/11/03	10.10	10.44	9.69	9.85	17614970	1116892032.00
2010/11/04	10.02	10.35	9.47	10.24	13530515	845247808.00
2010/11/05	10.39	11.14	10.39	10.58	12802211	857315584.00
2010/11/08	10.95	11.68	10.69	11.68	12979833	923022528.00
2010/11/09	11.52	12.22	11.20	12.02	12489725	911149440.00
2010/11/10	11.92	12.35	11.75	11.92	6947686	520059744.00
2010/11/11	11.85	12.12	11.39	11.46	7683123	562923840.00
2010/11/12	11.06	11.27	10.28	10.52	10762725	726334720.00
2010/11/15	10.54	10.75	10.27	10.64	5760003	381203360.00
2010/11/16	10.64	11.00	10.19	10.22	6063637	404500864.00
2010/11/17	9.98	10.18	9.61	9.77	3955218	248203504.00
2010/11/18	9.85	10.13	9.72	10.02	3571243	222761728.00
2010/11/19	10.13	10.14	9.69	10.05	4248072	265038576.00
2010/11/22	9.90	10.50	9.90	10.33	4792775	309674336.00
2010/11/23	10.19	10.32	9.79	9.97	3705489	232447120.00
2010/11/24	9.94	10.35	9.91	10.33	3464326	222697600.00
2010/11/25	10.41	10.62	10.25	10.53	3793242	248497824.00
2010/11/26	10.50	10.50	10.16	10.18	3395869	219430960.00
2010/11/29	10.04	10.17	9.91	10.08	3481921	219141456.00
2010/11/30	10.02	10.23	9.62	9.86	3736847	232073808.00
2010/12/01	9.85	10.10	9.74	9.93	2350142	146548784.00
2010/12/02	10.10	10.23	9.96	10.02	2747509	174309232.00
2010/12/03	10.00	10.27	10.00	10.13	2722451	173841984.00
2010/12/06	10.17	10.25	9.77	9.85	2234234	139575456.00
2010/12/07	9.83	10.02	9.65	9.92	2507759	153812816.00
2010/12/08	9.85	9.87	9.66	9.69	2012774	123479176.00
2010/12/09	9.66	9.72	9.20	9.31	2492700	149429488.00
2010/12/13	9.52	10.04	9.45	10.00	3323748	204956080.00
2010/12/14	10.01	10.01	9.87	10.00	1680402	105058488.00
2010/12/15	10.00	10.25	9.92	10.04	2258475	143231024.00
2010/12/16	10.02	10.17	9.93	10.11	1747338	110815328.00
2010/12/17	10.15	10.49	10.08	10.43	3642356	236951136.00
2010/12/20	10.49	10.60	9.83	10.10	3332045	212875456.00
2010/12/21	10.17	10.35	10.05	10.35	2758383	176537616.00
2010/12/22	10.35	10.35	10.15	10.17	1816261	116631560.00
2010/12/23	10.19	10.19	9.86	9.89	2090029	131706312.00
2010/12/24	9.77	9.90	9.62	9.75	1529249	93638464.00
2010/12/27	9.75	10.18	9.74	9.88	2728136	171275200.00
2010/12/28	9.85	10.19	9.74	10.02	2523467	159350688.00
2010/12/29	10.04	10.20	10.01	10.17	1760688	111994896.00
2010/12/30	10.17	10.17	9.94	10.08	1597847	100824632.00
2010/12/31	10.07	10.20	10.00	10.18	1854943	117941824.00
2011/01/04	10.32	10.34	10.14	10.23	2129869	136808864.00
2011/01/05	10.33	10.57	10.25	10.45	3360901	220539648.00
2011/01/06	10.50	10.50	10.15	10.15	2657848	171514640.00
2011/01/07	10.12	10.45	10.06	10.22	1936143	125104968.00
2011/01/10	10.20	10.38	10.00	10.01	1310765	83848544.00
2011/01/11	9.85	9.93	9.64	9.75	1762992	108388240.00
2011/01/12	9.82	9.85	9.67	9.77	821295	50534904.00
2011/01/13	9.85	9.94	9.77	9.83	760775	47149876.00
2011/01/14	9.77	9.83	9.51	9.52	1346215	81178792.00
2011/01/17	9.42	9.58	9.29	9.34	956837	56733704.00
2011/01/18	9.35	9.48	9.21	9.40	522702	30937662.00
2011/01/19	9.40	9.73	9.39	9.68	1168538	70808888.00
2011/01/20	9.67	9.76	9.37	9.37	989366	59413240.00
2011/01/21	9.33	9.50	9.29	9.47	922903	54703092.00
2011/01/24	9.61	10.12	9.52	9.73	1902555	118026336.00
2011/01/25	9.67	9.83	9.22	9.40	1747647	104113448.00
2011/01/26	9.42	9.55	9.34	9.46	865962	51453272.00
2011/01/27	9.40	9.68	9.33	9.63	1322062	79626904.00
2011/01/28	9.66	9.77	9.60	9.63	1081971	65881568.00
2011/01/31	9.62	9.63	9.38	9.59	1211348	72528336.00
2011/02/01	9.52	9.66	9.52	9.59	762265	46080872.00
2011/02/09	9.34	9.59	9.21	9.21	3795370	224232160.00
2011/02/10	9.27	9.60	9.26	9.58	2969873	176421872.00
2011/02/11	9.56	9.77	9.50	9.71	2567428	155930624.00
2011/02/14	9.72	9.90	9.61	9.85	3082811	189935312.00
2011/02/15	9.90	10.25	9.86	10.00	3845699	244309008.00
2011/02/16	10.02	10.51	10.00	10.50	5038712	325522112.00
2011/02/17	11.00	11.07	10.60	10.85	7021621	476189280.00
2011/02/18	10.85	11.40	10.71	11.08	6095051	424958880.00
2011/02/21	11.15	11.65	11.05	11.20	5395809	381857152.00
2011/02/22	11.10	11.21	10.60	10.62	5758680	391056352.00
2011/02/23	10.62	11.73	10.61	11.73	8274774	590465088.00
2011/02/24	11.52	11.69	11.15	11.27	5984455	423189824.00
2011/02/25	11.35	11.40	10.87	11.22	4313336	300688384.00
2011/02/28	11.57	11.68	11.26	11.52	6128244	439298688.00
2011/03/01	11.48	11.54	11.25	11.47	3826417	272152960.00
2011/03/02	11.40	11.85	11.30	11.69	4979985	362306688.00
2011/03/03	11.76	11.98	11.39	11.39	4751139	347599808.00
2011/03/04	11.43	11.47	11.14	11.32	3190786	224933904.00
2011/03/07	11.28	11.42	11.10	11.36	3505423	246693936.00
2011/03/08	11.37	11.55	11.20	11.52	3252766	231916336.00
2011/03/09	11.57	11.61	11.42	11.54	2600502	187333168.00
2011/03/10	11.59	12.12	11.54	11.78	5023795	373147520.00
2011/03/11	11.71	12.44	11.65	12.11	6625299	502296736.00
2011/03/14	12.19	12.35	11.99	12.22	3789704	286870912.00
2011/03/15	12.14	12.18	11.65	11.87	4855269	358211808.00
2011/03/16	11.82	12.18	11.75	12.07	3655304	272902464.00
2011/03/17	11.94	12.07	11.63	11.68	3443090	254428928.00
2011/03/18	11.84	12.05	11.73	11.82	2451220	182206608.00
2011/03/21	11.90	12.08	11.79	11.95	2084957	155457856.00
2011/03/22	11.94	11.99	11.66	11.72	2169491	159262832.00
2011/03/23	11.72	11.84	11.67	11.83	2030376	148855136.00
2011/03/24	11.85	11.90	11.70	11.72	1745679	128388072.00
2011/03/25	11.77	12.18	11.74	12.03	3270834	245766592.00
2011/03/28	12.05	12.15	11.70	11.71	3132069	230960000.00
2011/03/30	11.35	11.40	10.78	10.82	4158821	287306336.00
2011/03/31	10.99	11.00	10.66	10.69	2554440	172691552.00
2011/04/01	10.73	11.10	10.73	11.02	2253751	155084608.00
2011/04/06	10.95	10.97	10.69	10.75	2552181	172854608.00
2011/04/07	10.79	11.15	10.79	11.02	1928497	133086208.00
2011/04/08	11.25	11.82	11.21	11.69	3559981	256809872.00
2011/04/11	11.98	12.42	11.85	12.07	5202536	394107776.00
2011/04/12	12.10	12.10	11.87	11.98	2182637	163190544.00
2011/04/13	12.00	12.52	12.00	12.51	5057923	388332000.00
2011/04/14	12.54	12.79	12.12	12.30	4590767	353916096.00
2011/04/15	12.12	12.14	11.65	11.72	9154732	333857216.00
2011/04/18	11.55	12.08	11.36	11.64	7978054	289449120.00
2011/04/19	11.45	12.84	11.36	12.49	14840744	559689984.00
2011/04/20	12.62	12.82	12.19	12.49	13287371	512286080.00
2011/04/21	12.54	12.81	12.32	12.52	8782288	339719712.00
2011/04/22	12.53	12.73	12.36	12.42	6249448	241121104.00
2011/04/25	12.35	12.35	11.54	11.64	7750207	282843072.00
2011/04/26	11.64	11.92	11.64	11.72	4576344	166507408.00
