002508 老板电器 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2010/11/23	4.81	7.70	4.40	5.51	27732682	1005752448.00
2010/11/24	4.84	5.28	4.84	4.84	19322156	692489216.00
2010/11/25	4.94	5.45	4.86	5.45	16557794	611246912.00
2010/11/26	5.25	6.11	5.22	6.11	18414134	752120256.00
2010/11/29	6.13	6.71	5.94	6.38	14653228	645261440.00
2010/11/30	6.21	6.78	5.99	6.38	13691223	611878976.00
2010/12/01	6.16	6.85	6.14	6.75	11737494	534065856.00
2010/12/02	6.82	6.98	6.41	6.51	9836095	451280800.00
2010/12/03	6.35	6.40	5.75	5.79	10372287	435924992.00
2010/12/06	5.67	5.99	5.56	5.77	6694523	274248032.00
2010/12/07	5.74	5.74	5.22	5.51	6915332	267966544.00
2010/12/08	5.46	5.75	5.44	5.51	4919080	194295312.00
2010/12/09	5.43	5.43	5.07	5.11	5326157	199617424.00
2010/12/10	5.22	5.41	5.12	5.36	4327794	163015296.00
2010/12/13	5.42	5.70	5.26	5.57	5871152	229816176.00
2010/12/14	5.56	6.24	5.44	6.11	9813732	403141568.00
2010/12/15	6.00	6.23	5.79	5.84	7710864	324452544.00
2010/12/16	5.84	6.09	5.77	5.89	4382084	182624240.00
2010/12/17	5.82	5.95	5.78	5.82	3060499	125814296.00
2010/12/20	5.81	5.90	5.27	5.54	4083263	162128192.00
2010/12/21	5.51	5.59	5.41	5.55	2583544	101106360.00
2010/12/22	5.57	5.86	5.46	5.74	3704790	149121968.00
2010/12/23	5.67	6.06	5.64	5.98	6211275	259121456.00
2010/12/24	5.91	6.02	5.44	5.44	4409710	175585904.00
2010/12/27	5.49	5.56	5.09	5.20	3199202	121779928.00
2010/12/28	5.15	5.20	4.86	5.03	2040799	74071768.00
2010/12/29	5.05	5.25	4.97	5.22	1645315	60664668.00
2010/12/30	5.31	5.31	5.06	5.14	1651072	61218588.00
2010/12/31	5.11	5.23	5.09	5.20	1646869	61239016.00
2011/01/04	5.27	5.37	5.20	5.30	2056873	77836744.00
2011/01/05	5.26	5.27	5.13	5.14	2096250	78012032.00
2011/01/06	5.15	5.16	4.95	4.97	2109524	76518552.00
2011/01/07	4.92	5.10	4.91	4.98	1451452	52568540.00
2011/01/10	4.97	5.09	4.88	4.91	1166197	42139360.00
2011/01/11	4.89	5.00	4.56	4.68	1966175	67667000.00
2011/01/12	4.68	4.79	4.62	4.74	947795	32744632.00
2011/01/13	4.76	4.79	4.65	4.66	835875	28736616.00
2011/01/14	4.65	4.66	4.39	4.40	1372441	45328764.00
2011/01/17	4.45	4.68	4.44	4.50	1862561	62527232.00
2011/01/18	4.45	4.96	4.45	4.83	3464882	120269408.00
2011/01/19	4.81	4.86	4.66	4.85	2324904	81137112.00
2011/01/20	4.77	4.83	4.45	4.46	2059034	70390352.00
2011/01/21	4.41	4.62	4.41	4.53	1305343	43539204.00
2011/01/24	4.53	4.79	4.53	4.64	1866441	64136160.00
2011/01/25	4.57	4.62	4.23	4.39	1480433	48255684.00
2011/01/26	4.36	4.66	4.30	4.51	1251160	41933252.00
2011/01/27	4.45	4.66	4.37	4.63	1565116	52411696.00
2011/01/28	4.60	4.62	4.49	4.59	1217969	40944804.00
2011/01/31	4.55	4.68	4.52	4.59	1177228	39973508.00
2011/02/01	4.61	4.66	4.54	4.61	804144	27206906.00
2011/02/09	4.56	4.62	4.38	4.40	1335728	44270028.00
2011/02/10	4.40	4.76	4.34	4.73	1879625	63273964.00
2011/02/11	4.65	4.79	4.65	4.76	2252219	78020656.00
2011/02/14	4.72	4.93	4.72	4.88	2631234	93286040.00
2011/02/15	4.88	4.97	4.79	4.83	2280155	80958640.00
2011/02/16	4.83	5.05	4.82	4.99	2441859	87833352.00
2011/02/17	4.99	5.02	4.86	4.96	2073802	74040952.00
2011/02/18	4.91	4.91	4.78	4.78	1871620	65659768.00
2011/02/21	4.71	4.89	4.71	4.88	1589846	55841392.00
2011/02/22	4.88	4.88	4.53	4.54	2080122	71397088.00
2011/02/23	4.53	4.62	4.46	4.55	2836068	94805560.00
2011/02/24	4.55	4.62	4.49	4.61	2262695	76148376.00
2011/02/25	4.59	4.60	4.47	4.53	1527234	51054360.00
2011/02/28	4.54	4.76	4.54	4.74	2264153	77674712.00
2011/03/01	4.79	5.03	4.79	4.89	3709652	132631504.00
2011/03/02	4.82	4.89	4.76	4.85	2009520	70455976.00
2011/03/03	4.85	4.95	4.69	4.72	1963288	69187232.00
2011/03/04	4.74	4.86	4.73	4.86	1542440	54060256.00
2011/03/07	4.91	4.93	4.78	4.87	2284541	80688448.00
2011/03/08	4.87	4.87	4.77	4.81	1523899	53410472.00
2011/03/09	4.81	4.96	4.78	4.94	2536372	90175096.00
2011/03/10	4.94	5.05	4.86	4.87	2206036	78948464.00
2011/03/11	4.83	4.89	4.75	4.76	1843452	64582256.00
2011/03/14	4.73	4.82	4.68	4.80	1400685	48537988.00
2011/03/15	4.81	4.82	4.46	4.68	2081752	70878392.00
2011/03/16	4.66	4.76	4.65	4.70	1386907	47883680.00
2011/03/17	4.64	4.71	4.54	4.58	1306835	44329868.00
2011/03/18	4.66	4.68	4.57	4.60	868896	29505218.00
2011/03/21	4.60	4.62	4.50	4.53	983286	33057952.00
2011/03/22	4.55	4.59	4.47	4.57	783827	26198122.00
2011/03/23	4.57	4.66	4.56	4.62	1065977	36263396.00
2011/03/24	4.61	4.65	4.57	4.58	951438	32215584.00
2011/03/25	4.62	4.62	4.54	4.59	1011263	34101204.00
2011/03/28	4.59	4.62	4.48	4.49	1561797	52162384.00
2011/03/29	4.47	4.47	4.27	4.28	1968579	63524236.00
2011/03/30	4.30	4.35	4.28	4.29	876316	28181014.00
2011/03/31	4.29	4.37	4.29	4.34	862107	27838444.00
2011/04/01	4.32	4.35	4.25	4.33	783482	25170166.00
2011/04/06	4.32	4.41	4.32	4.40	1151159	37457584.00
2011/04/07	4.41	4.57	4.41	4.55	2026106	67629568.00
2011/04/08	4.55	4.58	4.48	4.54	1277935	42733148.00
2011/04/11	4.56	4.59	4.41	4.41	1695282	56019296.00
2011/04/12	4.41	4.41	4.32	4.36	778833	25289158.00
2011/04/13	4.31	4.45	4.31	4.44	669236	21945762.00
2011/04/14	4.45	4.50	4.40	4.47	885780	29299510.00
2011/04/15	4.47	4.50	4.40	4.44	622730	20505788.00
2011/04/18	4.44	4.48	4.40	4.46	622850	20490966.00
2011/04/19	4.45	4.57	4.40	4.50	1670287	55820180.00
2011/04/20	4.51	4.56	4.41	4.49	1138114	37635216.00
2011/04/21	4.50	4.54	4.44	4.54	1190866	39580916.00
2011/04/22	4.55	4.60	4.51	4.54	1349858	45375672.00
2011/04/25	4.52	4.54	4.36	4.37	1117304	36703112.00
2011/04/26	4.35	4.38	4.31	4.36	555932	17989044.00
2011/04/27	4.35	4.41	4.23	4.26	679778	21921258.00
2011/04/29	4.11	4.11	3.81	3.97	1209575	36318340.00
2011/05/03	3.97	3.99	3.88	3.97	479767	14408341.00
2011/05/04	3.94	3.94	3.74	3.75	741473	21833968.00
2011/05/05	3.75	3.78	3.66	3.75	521634	15014417.00
2011/05/06	3.77	4.15	3.74	4.03	1865623	56825332.00
2011/05/09	4.03	4.14	3.98	4.09	1009828	31081180.00
2011/05/10	4.05	4.11	4.01	4.07	476957	14583614.00
2011/05/11	4.09	4.21	4.01	4.17	950847	29530950.00
2011/05/12	4.16	4.20	4.02	4.02	950126	29509404.00
2011/05/13	3.95	4.03	3.81	3.91	812900	14921580.00
2011/05/16	3.90	3.92	3.81	3.81	813998	14826398.00
