002558 巨人网络 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/03/02	9.40	9.98	9.28	9.31	9432453	369605600.00
2011/03/03	9.14	10.03	9.03	9.71	6382202	251208640.00
2011/03/04	9.28	9.36	8.99	9.19	3801463	142969872.00
2011/03/07	9.03	9.32	9.03	9.11	2753678	103227904.00
2011/03/08	9.05	9.12	8.78	8.85	2791537	101731800.00
2011/03/09	8.87	8.99	8.81	8.90	1510928	55230552.00
2011/03/10	8.91	9.00	8.82	8.92	1522724	55663532.00
2011/03/11	8.91	8.99	8.79	8.83	1436260	52249056.00
2011/03/14	8.77	8.90	8.55	8.90	1905759	68047720.00
2011/03/15	8.81	9.66	8.81	9.29	4263794	161405584.00
2011/03/16	9.16	9.49	9.03	9.21	1899259	71506752.00
2011/03/17	9.16	9.16	8.81	8.84	1301983	47811052.00
2011/03/18	8.88	8.99	8.84	8.87	658886	24046520.00
2011/03/21	8.85	9.02	8.80	8.92	602517	21975908.00
2011/03/22	8.97	9.19	8.83	9.08	1369796	50812304.00
2011/03/23	9.03	9.09	8.93	9.00	906594	33412078.00
2011/03/24	9.00	9.21	9.00	9.14	1321108	49492160.00
2011/03/25	9.09	9.09	8.89	8.94	1264179	46356192.00
2011/03/28	8.94	9.10	8.87	8.93	1058628	38979608.00
2011/03/29	8.86	8.99	8.56	8.57	1259535	44917196.00
2011/03/30	8.57	8.60	8.28	8.29	793933	27384486.00
2011/03/31	8.32	8.41	8.31	8.38	475832	16331327.00
2011/04/01	8.38	8.52	8.34	8.44	481869	16698518.00
2011/04/06	8.41	8.52	8.33	8.36	443989	15315528.00
2011/04/07	8.37	8.42	8.32	8.39	413824	14212876.00
2011/04/08	8.42	8.46	8.34	8.43	433977	14991697.00
2011/04/11	8.44	8.47	8.20	8.22	627671	21478246.00
2011/04/12	8.14	8.21	8.12	8.13	541890	18174656.00
2011/04/13	8.13	8.69	8.13	8.56	1345248	46767224.00
2011/04/14	8.52	8.52	8.36	8.37	586333	20285586.00
2011/04/15	8.37	8.37	8.22	8.27	354951	12084278.00
2011/04/18	8.29	8.51	8.27	8.36	429211	14792547.00
2011/04/19	8.32	8.34	8.22	8.26	344765	11713269.00
2011/04/20	8.26	8.39	8.26	8.35	269735	9242756.00
2011/04/21	8.38	8.40	8.33	8.35	307396	10575388.00
2011/04/25	8.26	8.26	7.77	7.77	950843	31195956.00
2011/04/26	7.78	7.87	7.53	7.57	492435	15435527.00
2011/04/27	7.59	7.60	7.30	7.38	447213	13681259.00
2011/04/28	7.37	7.45	7.18	7.18	372489	11292183.00
2011/04/29	7.21	7.25	7.04	7.24	225108	6666546.50
2011/05/03	7.20	7.33	7.17	7.33	297046	8943583.00
2011/05/04	7.28	7.31	7.04	7.05	305318	9019103.00
2011/05/05	7.00	7.05	6.94	7.05	261189	7557648.00
2011/05/06	7.02	7.02	6.91	6.97	219149	6320826.50
2011/05/09	6.98	7.13	6.98	7.01	270584	7873084.00
2011/05/10	7.06	7.06	6.96	7.01	158974	4599967.50
2011/05/11	7.03	7.74	7.01	7.27	517364	15625926.00
2011/05/12	7.23	7.31	7.11	7.11	299425	8867446.00
2011/05/13	7.08	7.48	7.01	7.46	494440	14819445.00
2011/05/16	7.48	7.50	7.25	7.46	423593	12963763.00
2011/05/17	7.46	7.46	7.31	7.33	298827	9091111.00
2011/05/18	7.33	7.36	7.26	7.29	163765	4930168.50
2011/05/19	7.26	7.34	7.25	7.28	122106	3675202.00
2011/05/20	7.26	7.30	7.13	7.14	108101	3215351.50
2011/05/23	7.13	7.13	6.76	6.76	333406	9488466.00
2011/05/24	6.76	6.76	6.53	6.71	225696	6232001.00
2011/05/25	6.63	6.70	6.63	6.63	90566	2499545.75
2011/05/26	6.75	6.75	6.59	6.59	116491	3201440.75
2011/05/27	6.97	6.97	6.56	6.61	189507	5244370.50
2011/05/30	6.61	6.61	6.44	6.46	164845	4442798.50
2011/05/31	6.47	6.59	6.47	6.56	125896	3419889.00
2011/06/01	6.56	6.63	6.53	6.60	90385	2473819.25
2011/06/02	6.55	6.60	6.44	6.48	199118	5369744.50
2011/06/03	6.48	6.62	6.48	6.60	522116	14215846.00
2011/06/07	6.60	6.60	6.52	6.57	334552	9118716.00
2011/06/08	6.60	6.63	6.46	6.51	256181	6917020.50
2011/06/09	6.47	6.47	6.26	6.26	320353	8477276.00
2011/06/10	6.26	6.32	5.99	6.13	289945	7394150.50
2011/06/13	6.07	6.12	6.01	6.07	110740	2797161.00
2011/06/14	6.05	6.16	6.02	6.15	230738	5887805.50
2011/06/15	6.15	6.19	6.07	6.09	200600	5126336.00
2011/06/16	6.05	6.08	5.92	5.92	245539	6161253.50
2011/06/17	5.92	5.97	5.84	5.85	216982	5349034.50
2011/06/20	5.79	6.03	5.79	5.97	392710	9712357.00
2011/06/21	5.98	6.06	5.97	6.06	287707	7208797.00
2011/06/22	6.06	6.06	5.96	6.05	248750	6242071.00
2011/06/23	6.05	6.50	5.96	6.41	509330	13296024.00
2011/06/24	6.37	6.44	6.28	6.40	987904	26204972.00
2011/06/27	6.39	6.50	6.39	6.43	459766	12315087.00
2011/06/28	6.41	6.43	6.30	6.39	276707	7320792.50
2011/06/29	6.39	6.48	6.31	6.31	206548	5496337.50
2011/06/30	6.37	6.52	6.32	6.43	379992	10180772.00
2011/07/01	6.47	6.47	6.40	6.43	316532	8464001.00
2011/07/04	6.43	6.60	6.43	6.56	376141	10224008.00
2011/07/05	6.57	6.60	6.51	6.55	333384	9069208.00
2011/07/06	6.51	6.56	6.43	6.56	315765	8513308.00
2011/07/07	6.55	6.75	6.55	6.65	637795	17643870.00
2011/07/08	6.66	6.66	6.54	6.62	305277	8354533.00
2011/07/11	6.62	6.74	6.55	6.73	325737	9026023.00
2011/07/12	6.67	6.70	6.50	6.53	303396	8336681.00
2011/07/13	6.51	6.67	6.51	6.65	305720	8402179.00
2011/07/14	6.65	6.87	6.65	6.78	594247	16669619.00
2011/07/15	6.78	6.99	6.71	6.98	630604	17971998.00
2011/07/18	6.95	6.99	6.86	6.87	335665	9597244.00
2011/07/19	6.87	6.87	6.71	6.74	301553	8454933.00
2011/07/20	6.75	6.82	6.70	6.78	225768	6335555.50
2011/07/21	6.78	6.81	6.64	6.65	259252	7196327.50
2011/07/22	6.61	6.75	6.61	6.65	215249	5985504.00
2011/07/25	6.65	6.82	6.45	6.46	375820	10377927.00
2011/07/26	6.47	6.59	6.47	6.53	161152	4373044.00
2011/07/27	6.47	6.73	6.43	6.72	218225	6010234.00
2011/07/28	6.66	6.96	6.65	6.95	727829	20695250.00
2011/07/29	6.96	7.04	6.78	7.03	766313	22006468.00
2011/08/01	7.01	7.25	6.98	7.20	1012931	30086812.00
2011/08/02	7.18	7.18	6.93	7.13	624785	18252342.00
2011/08/03	7.01	7.16	6.98	7.13	523836	15341690.00
2011/08/04	7.11	7.15	6.88	6.93	714955	20644728.00
2011/08/05	6.50	6.65	6.37	6.53	729844	19813534.00
2011/08/08	6.45	6.48	5.89	6.04	619221	15971691.00
2011/08/09	5.89	6.15	5.81	6.06	392038	9793868.00
2011/08/10	6.16	6.30	6.13	6.15	443324	11505483.00
2011/08/11	6.02	6.34	6.00	6.32	459251	11825165.00
2011/08/12	6.32	6.47	6.31	6.39	631139	16732151.00
2011/08/15	6.38	6.62	6.32	6.53	796429	21468030.00
2011/08/16	6.53	6.57	6.45	6.49	357213	9644094.00
2011/08/17	6.51	6.54	6.42	6.47	256045	6911049.00
2011/08/18	6.48	6.59	6.48	6.55	418164	11355448.00
2011/08/19	6.39	6.55	6.38	6.48	367944	9905042.00
2011/08/22	6.48	6.86	6.46	6.68	558832	15510725.00
2011/08/23	6.70	6.98	6.58	6.94	1170455	33105306.00
2011/08/24	6.94	7.10	6.83	6.88	1037916	29953086.00
2011/08/25	6.85	6.98	6.73	6.87	918266	25977462.00
2011/08/26	6.88	7.13	6.83	7.05	968974	28143784.00
2011/08/29	7.06	7.23	6.91	7.11	1156917	34114736.00
2011/08/30	7.10	7.31	6.91	6.95	961984	28345534.00
2011/08/31	6.93	7.08	6.85	6.94	465942	13394581.00
2011/09/01	6.94	7.06	6.92	7.04	663458	19224238.00
2011/09/02	7.02	7.05	6.51	6.82	553095	15689852.00
2011/09/05	6.74	6.85	6.63	6.75	232803	6512453.00
2011/09/06	6.67	6.77	6.65	6.69	224381	6240985.50
2011/09/07	6.74	6.99	6.70	6.93	612523	17462918.00
2011/09/08	6.93	6.99	6.78	6.81	419017	11973231.00
2011/09/09	6.81	7.07	6.78	6.94	559389	16100255.00
2011/09/13	6.93	6.94	6.68	6.77	381527	10751623.00
2011/09/14	6.79	6.83	6.50	6.68	542609	14944127.00
2011/09/15	6.73	6.76	6.61	6.61	265747	7372633.00
2011/09/16	6.71	6.72	6.58	6.59	239696	6597251.00
2011/09/19	6.54	6.60	6.39	6.40	195764	5256990.00
2011/09/20	6.38	6.63	6.26	6.49	257318	6891901.00
2011/09/21	6.50	6.67	6.42	6.63	386055	10581011.00
2011/09/22	6.64	6.64	6.33	6.43	218190	5914081.00
2011/09/23	6.30	6.41	6.27	6.34	198862	5242601.00
2011/09/26	6.34	6.49	6.27	6.34	252260	6683384.50
2011/09/27	6.41	6.41	6.25	6.36	215418	5662815.50
2011/09/28	6.36	6.38	6.12	6.18	178343	4657717.00
2011/09/29	6.18	6.18	5.92	5.96	246272	6189782.50
2011/09/30	5.92	6.08	5.92	6.03	121549	3048183.75
2011/10/10	6.05	6.23	5.98	6.03	123729	3116031.00
2011/10/11	6.20	6.22	5.96	6.01	225561	5726748.50
2011/10/12	6.00	6.19	5.89	6.17	256802	6563534.50
2011/10/13	6.12	6.32	6.12	6.26	316189	8216809.00
2011/10/14	6.21	6.27	6.13	6.19	153823	3958676.25
2011/10/17	6.19	6.23	6.13	6.20	309953	7981081.00
2011/10/18	6.17	6.36	6.13	6.19	339099	8765623.00
2011/10/19	6.14	6.22	6.06	6.07	216761	5548431.50
2011/10/20	6.05	6.05	5.53	5.57	539569	13103587.00
2011/10/21	5.63	5.63	5.52	5.55	171644	4008592.75
2011/10/24	5.62	5.80	5.34	5.64	254922	5991311.00
2011/10/25	5.71	5.85	5.55	5.84	407020	9751872.00
2011/10/26	5.77	5.98	5.72	5.88	426135	10458428.00
2011/10/27	5.88	6.04	5.85	5.88	357900	8857727.00
2011/10/28	5.91	6.14	5.91	5.99	344130	8591687.00
2011/10/31	6.11	6.12	5.92	6.01	273055	6828280.00
2011/11/01	5.99	6.17	5.95	6.10	383756	9713033.00
2011/11/02	6.00	6.27	5.97	6.27	522033	13360969.00
2011/11/03	6.27	6.62	6.21	6.37	852903	22844136.00
2011/11/04	6.45	6.50	6.37	6.44	319230	8554425.00
2011/11/07	6.45	6.51	6.30	6.45	349683	9320932.00
2011/11/08	6.41	6.45	6.30	6.40	211400	5627753.00
2011/11/09	6.39	6.70	6.39	6.52	347279	9400798.00
2011/11/10	6.45	6.57	6.41	6.44	219073	5882113.00
2011/11/11	6.46	6.56	6.43	6.46	307352	8284639.50
2011/11/14	6.51	6.87	6.47	6.73	819900	22774820.00
2011/11/15	6.73	6.73	6.63	6.67	290487	8040564.00
2011/11/16	6.70	6.71	6.27	6.45	376400	10214975.00
2011/11/17	6.40	6.62	6.40	6.48	253612	6861445.50
2011/11/18	6.50	6.50	6.32	6.37	235873	6260551.00
2011/11/21	6.37	6.63	6.35	6.46	236205	6363753.00
2011/11/22	6.34	6.51	6.33	6.47	170398	4564044.50
2011/11/23	6.57	6.69	6.49	6.50	481827	13146399.00
