002572 索菲亚 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/04/12	3.90	3.91	3.62	3.74	2611783	203996992.00
2011/04/13	3.74	3.86	3.72	3.83	990541	77489288.00
2011/04/14	3.81	3.81	3.67	3.70	649207	49975276.00
2011/04/15	3.67	4.01	3.67	3.92	1022667	81511528.00
2011/04/18	3.90	4.07	3.84	4.03	564104	46087996.00
2011/04/19	4.00	4.03	3.84	3.93	338707	27244512.00
2011/04/20	3.99	4.03	3.85	3.90	274890	22064382.00
2011/04/21	3.90	3.94	3.78	3.81	244158	19192136.00
2011/04/22	3.81	3.88	3.78	3.84	237986	18801456.00
2011/04/25	3.87	3.87	3.75	3.81	241346	18928178.00
2011/04/26	3.75	3.82	3.75	3.78	102471	7984173.00
2011/04/27	3.78	3.82	3.70	3.71	196800	15194964.00
2011/04/28	3.69	3.69	3.28	3.33	405013	29171466.00
2011/04/29	3.31	3.42	3.28	3.37	122830	8748601.00
2011/05/03	3.39	3.46	3.30	3.45	66436	4767321.00
2011/05/04	3.41	3.41	3.38	3.39	68754	4939296.00
2011/05/05	3.32	3.40	3.31	3.40	52200	3727875.00
2011/05/06	3.39	3.43	3.34	3.39	34350	2467074.00
2011/05/09	3.43	3.48	3.37	3.41	52692	3812458.25
2011/05/10	3.40	3.46	3.39	3.45	46910	3403602.25
2011/05/11	3.48	3.53	3.46	3.51	107718	7909763.00
2011/05/12	3.51	3.63	3.50	3.57	130234	9773122.00
2011/05/16	3.53	3.61	3.53	3.59	58192	4343173.50
2011/05/17	3.59	3.66	3.59	3.62	82302	6247775.50
2011/05/18	3.62	3.64	3.61	3.64	41548	3143606.50
2011/05/19	3.64	3.64	3.53	3.53	46703	3486355.75
2011/05/20	3.53	3.56	3.51	3.53	33992	2520598.75
2011/05/23	3.53	3.54	3.45	3.45	52200	3820167.50
2011/05/24	3.45	3.52	3.41	3.50	59295	4341444.50
2011/05/25	3.51	3.64	3.51	3.55	107182	8031184.00
2011/05/26	3.53	3.57	3.46	3.46	49405	3634427.25
2011/05/27	3.41	3.54	3.41	3.43	78298	5735290.50
2011/05/30	3.40	3.44	3.34	3.41	53088	3835100.00
2011/05/31	3.37	3.59	3.35	3.53	82988	6067157.00
