002602 世纪华通 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/07/28	7.87	8.87	7.87	8.16	27548122	712907392.00
2011/07/29	7.96	8.45	7.96	8.33	15100015	388814976.00
2011/08/01	8.22	8.68	7.70	8.43	13542301	348325408.00
2011/08/02	8.29	8.85	8.20	8.52	14365875	384144224.00
2011/08/03	8.36	8.49	8.16	8.17	8903622	229332704.00
2011/08/04	8.08	8.26	7.95	8.13	6613661	166418448.00
2011/08/05	7.83	8.19	7.77	7.93	5609349	139463312.00
2011/08/08	7.77	7.89	7.11	7.11	7305235	168533792.00
2011/08/09	6.63	7.03	6.38	6.82	6237714	131232960.00
2011/08/10	6.99	7.12	6.80	6.82	4765997	103796248.00
2011/08/11	6.55	7.04	6.47	6.96	4945085	105441992.00
2011/08/12	7.03	7.34	6.97	7.12	5420382	121227680.00
2011/08/15	7.08	7.25	7.05	7.20	4407375	98571768.00
2011/08/16	7.20	7.33	7.15	7.25	4375652	99303200.00
2011/08/17	7.23	7.28	7.02	7.06	3372967	74982152.00
2011/08/18	7.06	7.10	6.80	6.87	2788422	60336044.00
2011/08/19	6.74	7.20	6.74	7.05	4928136	108348120.00
2011/08/22	6.98	7.21	6.98	7.06	2970879	65920264.00
2011/08/23	7.07	7.37	7.07	7.37	5297675	119942248.00
2011/08/24	7.43	7.43	7.22	7.23	4820106	110262088.00
2011/08/26	7.32	7.58	7.32	7.47	6379565	147853888.00
2011/08/29	7.50	7.53	7.37	7.38	3730789	86666240.00
2011/08/30	7.42	7.48	7.18	7.19	2971058	68095928.00
2011/08/31	7.14	7.18	6.87	7.02	2688577	59040632.00
2011/09/01	7.06	7.15	6.94	6.97	1863284	41029744.00
2011/09/02	7.03	7.03	6.81	6.87	1474403	31730636.00
2011/09/05	6.75	6.82	6.58	6.58	1542502	32319562.00
2011/09/06	6.53	6.61	6.44	6.48	1775813	36260932.00
2011/09/07	6.54	6.72	6.51	6.71	1895468	39415056.00
2011/09/08	6.72	6.79	6.56	6.56	1916245	40080864.00
2011/09/09	6.55	6.66	6.48	6.61	1251071	25726162.00
2011/09/13	6.51	6.51	6.30	6.36	1409787	28247552.00
2011/09/14	6.39	6.45	6.28	6.45	1124213	22523790.00
2011/09/15	6.46	6.56	6.42	6.47	1565405	31910158.00
2011/09/16	6.52	6.55	6.38	6.38	1015554	20631258.00
2011/09/19	6.40	6.40	6.16	6.16	1099137	21603926.00
2011/09/20	6.16	6.24	6.07	6.16	944980	18274840.00
2011/09/21	6.17	6.40	6.14	6.37	1604955	31861662.00
2011/09/22	6.33	6.37	6.13	6.13	1389254	27282212.00
2011/09/23	6.03	6.13	5.98	6.10	1029702	19606372.00
2011/09/26	6.10	6.17	6.00	6.05	899937	17280774.00
