002619 艾格拉斯 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/09/29	2.46	2.99	2.46	2.74	14327633	247737744.00
2011/09/30	2.63	2.78	2.51	2.53	7670223	126761144.00
2011/10/10	2.57	2.80	2.53	2.80	6706902	113599480.00
2011/10/11	2.96	2.99	2.83	2.92	10581841	192533856.00
2011/10/12	2.87	3.05	2.80	3.02	8457830	154914960.00
2011/10/13	2.97	3.17	2.95	2.99	8733630	165595152.00
2011/10/14	2.98	3.15	2.98	3.12	7404175	141027168.00
2011/10/17	3.08	3.38	3.04	3.20	8610706	171181168.00
2011/10/18	3.11	3.16	2.90	2.94	6493626	122753432.00
2011/10/19	2.94	3.01	2.87	2.95	4932598	90712416.00
2011/10/20	2.93	2.93	2.71	2.75	4113970	71991536.00
2011/10/21	2.74	2.81	2.66	2.66	2828864	48105516.00
2011/10/24	2.63	2.81	2.54	2.79	4619127	77881176.00
2011/10/25	2.75	3.00	2.73	2.89	6129190	109489416.00
2011/10/26	2.87	3.01	2.82	2.91	6032547	109763928.00
2011/10/27	2.90	3.14	2.86	3.06	7757543	145423408.00
2011/10/28	3.04	3.12	2.99	3.10	5892881	111893264.00
2011/10/31	3.07	3.09	2.97	3.04	4452839	83988088.00
2011/11/01	2.99	3.16	2.95	3.15	6414940	121852504.00
2011/11/02	3.07	3.27	3.04	3.21	6246235	122070288.00
2011/11/03	3.32	3.37	3.07	3.07	7781038	155706960.00
2011/11/04	3.05	3.14	3.02	3.07	4317957	82399888.00
2011/11/07	3.03	3.05	2.95	2.99	3052193	56840172.00
2011/11/08	2.99	3.01	2.88	2.91	2659815	48944128.00
2011/11/09	2.93	2.98	2.86	2.98	2544154	46487548.00
2011/11/10	2.95	3.00	2.91	2.95	2636556	48509556.00
2011/11/11	2.95	3.01	2.92	2.95	2347959	43433244.00
2011/11/14	2.97	3.09	2.97	3.09	3608241	68370088.00
2011/11/15	3.09	3.10	3.03	3.05	2750468	52418164.00
2011/11/16	3.05	3.06	2.85	2.87	3097749	56760320.00
2011/11/17	2.86	2.93	2.82	2.86	1964365	35265796.00
2011/11/18	2.83	2.88	2.78	2.82	1603445	28296624.00
2011/11/21	2.82	2.90	2.78	2.89	1717015	30499300.00
2011/11/22	2.85	2.90	2.82	2.89	1449840	25960212.00
2011/11/23	2.88	2.92	2.83	2.84	1196801	21492748.00
2011/11/24	2.80	2.80	2.70	2.77	1759432	30273936.00
2011/11/25	2.77	2.77	2.70	2.71	1320751	22577062.00
2011/11/28	2.74	2.79	2.72	2.76	1829520	31703832.00
2011/11/29	2.79	2.80	2.72	2.79	1533646	26534902.00
2011/11/30	2.77	2.80	2.57	2.60	1902337	31992482.00
2011/12/01	2.69	2.72	2.62	2.63	1664213	27935476.00
2011/12/02	2.62	2.63	2.55	2.58	990583	16077093.00
