002624 完美世界 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/28	10.67	12.47	10.67	12.21	19053354	439425088.00
2011/10/31	11.66	12.32	11.32	11.86	14090798	341852768.00
2011/11/01	11.46	12.86	11.39	12.27	13181213	328987936.00
2011/11/02	11.79	12.53	11.64	12.50	9019179	224479888.00
2011/11/03	12.67	12.82	11.83	11.85	9845470	246697760.00
2011/11/04	11.94	12.42	11.73	11.95	7729435	192228240.00
2011/11/07	11.77	12.01	11.29	11.81	6244207	148846096.00
2011/11/08	11.71	12.22	11.63	12.02	6468040	158807216.00
2011/11/09	11.99	12.40	11.83	12.25	6964154	173580016.00
2011/11/10	12.07	12.34	11.95	12.26	5886519	146643280.00
2011/11/11	12.65	12.91	12.25	12.31	9370931	240986672.00
2011/11/14	12.27	12.79	12.23	12.54	7403550	189850272.00
2011/11/15	12.57	12.75	12.17	12.31	5951283	150755472.00
2011/11/16	12.31	12.39	11.82	11.94	4548549	113793904.00
2011/11/17	11.97	12.16	11.77	11.98	3121388	76820616.00
2011/11/18	11.82	12.06	11.80	11.86	2706282	66285856.00
2011/11/21	11.86	11.98	11.68	11.98	2508075	61046596.00
2011/11/22	11.97	13.21	11.92	12.87	12320470	322912096.00
2011/11/23	12.67	12.92	12.52	12.75	6831748	178441696.00
2011/11/24	12.60	13.31	12.51	12.88	7791729	207058864.00
2011/11/25	12.67	12.79	12.22	12.29	5416508	138640720.00
2011/11/28	12.18	12.29	11.36	11.39	5821442	140011808.00
2011/11/29	11.57	11.58	11.29	11.49	3041235	71597208.00
2011/11/30	11.45	11.59	10.47	10.69	4465860	102146392.00
2011/12/01	11.02	11.19	10.81	10.87	3582461	81163000.00
2011/12/02	10.72	10.81	10.27	10.34	2986177	64346488.00
2011/12/05	10.34	10.55	10.27	10.49	2457277	52974068.00
2011/12/06	10.23	10.83	10.23	10.78	3118984	68123304.00
2011/12/07	10.75	11.09	10.58	11.00	3715878	83189384.00
2011/12/08	10.83	11.20	10.42	10.83	3806419	85153744.00
2011/12/09	10.61	11.10	10.46	10.86	3490060	78316624.00
2011/12/12	10.82	11.14	10.35	10.36	3523418	77747552.00
2011/12/13	10.37	10.56	9.61	9.61	2969913	61547916.00
2011/12/14	9.52	9.52	8.87	8.91	2726636	51669196.00
2011/12/15	8.67	8.99	8.57	8.61	1543667	28174374.00
2011/12/16	8.66	8.91	8.23	8.90	2096453	37334752.00
2011/12/19	8.67	8.79	8.31	8.70	2029171	36089820.00
2011/12/20	8.57	8.91	8.56	8.73	2638595	48176896.00
2011/12/21	8.81	8.83	7.82	7.82	2566259	44777424.00
2011/12/22	7.57	7.66	7.10	7.34	2835410	43496544.00
2011/12/23	7.34	7.56	7.22	7.38	1891746	29314874.00
2011/12/26	7.36	7.47	7.00	7.00	1818290	27523346.00
2011/12/27	6.92	7.37	6.92	7.10	2745140	41082584.00
2011/12/28	6.98	7.48	6.74	7.39	2807686	42108124.00
2011/12/29	7.31	7.77	7.27	7.47	3701644	58282820.00
2011/12/30	7.42	7.86	7.39	7.72	3110938	49638576.00
2012/01/04	7.72	7.75	6.91	6.91	2769421	42814544.00
2012/01/05	6.62	6.86	6.19	6.37	3091503	42368540.00
2012/01/06	6.36	6.66	6.08	6.54	2348549	31538640.00
2012/01/09	6.48	6.90	6.32	6.85	2566344	36031064.00
2012/01/10	6.82	7.20	6.72	7.14	3228253	47460652.00
2012/01/11	7.05	7.24	6.97	7.03	2661721	39477660.00
2012/01/13	7.01	7.01	6.40	6.46	2645066	36839636.00
2012/01/16	6.34	6.47	6.17	6.18	1165375	15483251.00
2012/01/17	6.15	6.70	6.12	6.64	1634248	22259220.00
2012/01/18	6.61	6.99	6.42	6.47	2148222	30491460.00
2012/01/19	6.44	6.54	6.17	6.50	1659309	22282344.00
2012/01/20	6.50	6.77	6.44	6.64	1970802	27632724.00
2012/01/30	6.71	6.91	6.58	6.73	3384235	48048696.00
2012/01/31	6.77	7.06	6.69	7.04	4121340	59006892.00
2012/02/01	6.94	7.09	6.78	6.83	3826084	55691080.00
2012/02/02	6.86	6.95	6.70	6.95	2089318	29992646.00
2012/02/03	6.92	7.19	6.86	7.16	3952782	58399676.00
2012/02/06	7.22	7.44	7.20	7.39	4522582	69110664.00
2012/02/07	7.27	7.31	6.97	7.08	2679048	39909424.00
2012/02/08	6.97	7.31	6.97	7.27	2724308	40885884.00
2012/02/09	7.27	7.49	7.25	7.30	2992974	45995284.00
2012/02/10	7.31	7.36	7.13	7.20	3170227	48026956.00
2012/02/13	7.14	7.43	7.08	7.39	3142546	47903028.00
2012/02/14	7.37	7.40	7.18	7.26	2651417	40258564.00
2012/02/15	7.30	7.54	7.26	7.49	4974818	77204944.00
2012/02/16	7.47	7.54	7.34	7.42	3039984	47257268.00
2012/02/17	7.45	7.72	7.29	7.68	4643320	72942712.00
2012/02/20	7.75	7.76	7.58	7.62	3775789	60384996.00
2012/02/21	7.57	7.74	7.41	7.73	3718378	58870768.00
2012/02/22	7.68	7.95	7.63	7.92	4482759	73481888.00
2012/02/23	7.92	8.12	7.85	8.04	3998876	66522724.00
2012/02/24	8.02	8.09	7.91	8.06	2819238	46927796.00
2012/02/27	8.06	8.21	7.94	8.01	3987891	66982848.00
2012/02/28	7.93	7.94	7.55	7.71	4576486	73887528.00
2012/02/29	7.64	7.73	7.57	7.58	2333565	37224976.00
2012/03/01	7.57	7.74	7.56	7.70	1820233	29030330.00
2012/03/02	7.72	7.86	7.67	7.86	2297341	37337204.00
2012/03/05	7.89	7.94	7.71	7.74	2825630	45861852.00
2012/03/06	7.74	8.51	7.57	8.29	6372516	106688640.00
2012/03/07	8.14	8.49	8.07	8.26	5649479	97771072.00
2012/03/08	8.26	8.44	8.22	8.31	3384508	58595880.00
2012/03/09	8.37	8.72	8.34	8.68	5350647	95658128.00
2012/03/12	8.68	9.13	8.62	8.63	5356087	98331136.00
2012/03/13	8.58	8.63	8.34	8.58	4514917	79426288.00
2012/03/14	8.59	8.80	7.93	8.08	5726859	100778720.00
2012/03/15	8.02	8.16	7.72	7.93	3157756	52165004.00
2012/03/16	8.01	8.16	7.89	8.16	2508742	41922916.00
2012/03/19	8.19	8.41	8.12	8.37	2485187	42700324.00
2012/03/20	8.29	8.29	7.90	7.90	2277037	38272440.00
2012/03/21	7.90	8.04	7.63	7.88	1889244	30847306.00
2012/03/22	7.85	8.14	7.82	8.09	2148396	35930212.00
2012/03/23	7.98	8.07	7.70	7.76	1617081	26324766.00
2012/03/26	7.77	7.89	7.59	7.80	937578	15123850.00
2012/03/27	7.96	7.99	7.73	7.75	1086959	17785066.00
2012/03/28	7.74	7.74	7.10	7.11	1739802	26718790.00
2012/03/29	6.98	7.11	6.67	6.74	1274007	18351154.00
2012/03/30	6.73	6.83	6.52	6.67	1155487	16123346.00
2012/04/05	6.71	6.91	6.62	6.91	1084345	15511048.00
2012/04/06	6.87	7.01	6.85	6.95	1127306	16399041.00
2012/04/09	7.02	7.27	6.89	7.08	1615277	24038542.00
2012/04/10	7.82	7.82	7.82	7.82	1783547	29089652.00
2012/04/11	8.15	8.64	8.12	8.64	10382403	181894720.00
2012/04/12	8.62	9.53	8.56	9.53	8208938	155762880.00
2012/04/13	9.92	10.01	9.17	9.22	11141665	218307648.00
2012/04/16	9.07	9.42	9.02	9.24	6790200	129576144.00
2012/04/17	9.17	9.17	8.57	8.69	5514029	100876384.00
2012/04/18	8.67	8.97	8.57	8.80	4674783	85158432.00
2012/04/19	8.72	9.16	8.49	9.08	6377254	116684232.00
2012/04/20	8.98	9.26	8.82	9.06	5357950	100699192.00
2012/04/23	9.00	9.12	8.23	8.42	4786631	84743040.00
2012/04/24	8.38	8.71	7.87	8.68	4030032	69762320.00
2012/04/25	8.54	8.98	8.40	8.84	5254355	95865792.00
2012/04/26	8.80	9.26	8.58	8.70	5426531	100990424.00
2012/04/27	8.49	8.50	8.24	8.32	2573685	44830748.00
2012/05/02	8.44	8.59	8.31	8.48	2003415	35140060.00
2012/05/04	8.52	9.14	8.52	8.85	3739927	69023000.00
2012/05/07	8.85	9.51	8.78	9.46	5928100	113491416.00
2012/05/08	9.37	9.57	9.13	9.42	4956766	95827280.00
2012/05/09	9.30	9.31	8.88	8.96	3122186	59259472.00
2012/05/10	9.03	9.28	8.98	9.12	2303110	43650816.00
2012/05/11	9.07	9.27	8.95	9.06	2254759	42660280.00
2012/05/14	9.09	9.16	8.61	8.64	2282689	41807688.00
2012/05/15	8.65	8.82	8.57	8.81	1367865	24753246.00
2012/05/16	8.73	8.83	8.64	8.64	1158499	21031952.00
2012/05/17	8.62	8.97	8.59	8.95	1610102	29600172.00
2012/05/18	9.07	9.07	8.68	8.71	1766080	32365140.00
2012/05/21	8.61	8.72	8.42	8.57	1311730	23281546.00
2012/05/22	8.65	8.76	8.59	8.66	963703	17329024.00
2012/05/23	8.62	8.64	8.32	8.52	1299280	22907454.00
2012/05/24	8.52	8.57	8.38	8.44	763797	13468870.00
2012/05/25	8.66	9.32	8.65	9.11	4571170	86094976.00
2012/05/28	8.89	9.38	8.87	9.32	3858966	73608072.00
2012/05/29	9.26	9.33	9.05	9.32	2868012	54747848.00
2012/05/30	9.22	9.49	9.12	9.34	3271446	63066356.00
2012/05/31	9.27	10.31	9.22	10.31	9375562	193598832.00
2012/06/01	10.24	10.49	9.79	9.83	15423551	157029664.00
