002670 国盛金控 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2012/04/16	5.24	5.38	4.71	4.84	24729528	228396576.00
2012/04/17	5.08	5.40	5.08	5.29	28774856	274596576.00
2012/04/18	5.08	5.23	4.96	5.14	21609879	200902144.00
2012/04/19	5.07	5.19	4.99	5.14	11857142	110605328.00
2012/04/20	5.14	5.22	5.01	5.16	14104379	131997744.00
2012/04/23	5.08	5.09	4.71	4.82	11630856	104517592.00
2012/04/24	4.73	4.83	4.41	4.58	8689126	74271856.00
2012/04/25	4.51	4.62	4.48	4.58	6564781	55571524.00
2012/04/26	4.61	4.72	4.57	4.68	7271695	62766228.00
2012/04/27	4.68	4.73	4.53	4.60	3706172	31661996.00
2012/05/02	4.64	4.78	4.59	4.78	6154511	53505644.00
2012/05/03	4.74	4.79	4.69	4.74	4130903	36189216.00
2012/05/04	4.76	4.77	4.71	4.76	3520912	30806176.00
2012/05/07	4.76	4.76	4.63	4.71	3701932	32051468.00
2012/05/08	4.70	4.95	4.67	4.83	6920338	61300880.00
2012/05/09	4.74	4.76	4.68	4.68	4144867	36092028.00
2012/05/10	4.68	4.72	4.66	4.69	2326260	20200526.00
2012/05/11	4.68	4.71	4.59	4.59	2701991	23226418.00
2012/05/14	4.64	4.67	4.56	4.56	2251683	19279914.00
2012/05/15	4.53	4.62	4.49	4.62	2528674	21359208.00
2012/05/16	4.62	4.69	4.57	4.57	2208363	18959698.00
2012/05/17	4.63	4.70	4.59	4.66	2545024	21937518.00
2012/05/18	4.61	4.69	4.58	4.58	2102080	18022670.00
2012/05/21	4.59	4.66	4.53	4.58	2009109	17124070.00
2012/05/22	4.61	4.65	4.59	4.65	1748127	14988564.00
2012/05/23	4.64	4.69	4.59	4.64	2664689	22916638.00
2012/05/24	4.64	4.65	4.54	4.55	2310288	19643952.00
2012/05/25	4.56	4.58	4.34	4.35	2833634	23463092.00
2012/05/28	4.33	4.34	4.16	4.33	3031721	24101756.00
2012/05/29	4.32	4.43	4.29	4.39	2700162	22050428.00
2012/05/30	4.39	4.43	4.36	4.38	1528772	12504618.00
2012/05/31	4.34	4.49	4.32	4.42	2460596	20241978.00
2012/06/01	4.40	4.46	4.39	4.43	1868325	15411275.00
2012/06/04	4.36	4.36	4.14	4.19	1966990	15752836.00
2012/06/05	4.19	4.25	4.18	4.21	1244919	9843512.00
2012/06/06	4.23	4.24	4.16	4.18	776650	6144524.50
2012/06/07	4.21	4.25	4.13	4.16	1312911	10354865.00
2012/06/08	4.21	4.22	4.16	4.18	1188390	9360548.00
2012/06/11	4.18	4.26	4.17	4.26	1277244	10131692.00
2012/06/12	4.23	4.24	4.21	4.21	838492	6650656.50
2012/06/13	4.22	4.33	4.22	4.32	1591431	12795677.00
2012/06/14	4.30	4.37	4.28	4.28	1590666	12867579.00
2012/06/15	4.28	4.33	4.22	4.29	1183868	9498940.00
2012/06/18	4.32	4.37	4.29	4.35	1592320	12922568.00
2012/06/19	4.35	4.36	4.29	4.31	1019565	8249482.50
2012/06/20	4.31	4.34	4.29	4.31	946505	7641951.50
2012/06/25	4.21	4.24	4.12	4.13	1167384	9190900.00
2012/06/26	4.05	4.18	4.05	4.14	861463	6674851.50
2012/06/27	4.17	4.23	4.13	4.18	1380971	10883106.00
2012/06/28	4.18	4.23	4.09	4.11	1324910	10351344.00
2012/06/29	4.08	4.21	4.07	4.21	1148025	8940016.00
2012/07/02	4.21	4.26	4.18	4.21	1286340	10178569.00
2012/07/03	4.23	4.32	4.19	4.31	2274026	18241948.00
2012/07/04	4.29	4.34	4.25	4.30	1761243	14188007.00
2012/07/05	4.30	4.30	4.16	4.18	1234265	9752924.00
2012/07/06	4.22	4.31	4.16	4.29	1882118	14973541.00
2012/07/09	4.24	4.32	4.15	4.16	1676204	13377474.00
2012/07/10	4.16	4.20	4.05	4.11	1313029	10162673.00
2012/07/11	4.11	4.13	4.08	4.13	768408	5956848.50
2012/07/12	4.15	4.16	4.06	4.11	1357308	10248254.00
2012/07/13	4.08	4.13	3.97	3.98	1542921	11477614.00
2012/07/16	3.96	3.96	3.53	3.58	5026240	34548608.00
2012/07/17	3.54	3.62	3.54	3.61	1870630	12536222.00
2012/07/18	3.59	3.68	3.55	3.66	1339787	9045101.00
2012/07/19	3.63	3.74	3.63	3.70	2702751	18610840.00
2012/07/20	3.68	3.69	3.58	3.69	1457038	9915773.00
2012/07/23	3.64	3.76	3.60	3.69	1521710	10423214.00
2012/07/24	3.66	3.74	3.66	3.72	1243270	8585871.00
2012/07/25	3.68	3.86	3.68	3.74	2781922	19591706.00
2012/07/26	3.70	3.82	3.69	3.77	1795342	12579952.00
2012/07/27	3.80	3.80	3.71	3.74	962142	6701572.00
