002815 崇达技术 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2016/10/12	20.77	23.04	20.77	23.04	20009	469911.44
2016/10/13	25.39	25.39	25.39	25.39	4500	116280.00
2016/10/14	27.97	27.97	27.97	27.97	7400	210308.00
2016/10/17	30.81	30.81	30.81	30.81	8100	253206.00
2016/10/18	33.94	33.94	33.94	33.94	7118	244788.02
2016/10/19	37.38	37.38	37.38	37.38	11045	417832.34
2016/10/20	41.16	41.16	41.16	41.16	28344	1179393.88
2016/10/21	45.32	45.32	45.32	45.32	85696	3922306.00
2016/10/24	49.90	49.90	46.80	47.88	22962185	1113163648.00
2016/10/25	48.35	52.71	47.89	52.71	13161366	672567424.00
2016/10/26	52.55	57.43	52.23	54.48	23335922	1279634432.00
2016/10/27	53.56	57.21	52.43	56.23	18956692	1064350848.00
2016/10/28	55.55	61.87	55.35	60.55	20855559	1232104832.00
2016/10/31	58.73	58.85	55.75	55.85	15210225	871005312.00
2016/11/01	55.03	58.55	54.81	57.24	13402971	772998784.00
2016/11/02	56.45	60.55	55.55	58.70	16230513	952392576.00
2016/11/03	57.82	60.70	57.07	57.36	15795905	937214656.00
2016/11/04	56.57	58.63	56.56	57.85	9742901	565286144.00
2016/11/07	58.25	63.15	57.50	60.35	15256918	929540288.00
2016/11/08	59.90	60.74	58.73	60.11	10343102	621354368.00
2016/11/09	60.10	64.33	59.13	62.46	17481373	1087785344.00
2016/11/10	62.68	68.75	61.87	67.65	20390787	1366829056.00
2016/11/11	67.55	71.35	65.70	66.63	21462348	1478847104.00
2016/11/14	65.30	66.53	63.85	64.77	10624345	697824384.00
2016/11/15	65.21	65.52	62.30	63.06	8928248	570494848.00
2016/11/16	63.05	63.43	60.14	60.39	8804704	543707072.00
2016/11/17	59.94	61.36	59.94	60.47	5395846	330633568.00
2016/11/18	60.35	62.32	60.16	60.88	6579097	406965056.00
2016/11/21	61.05	61.15	58.15	60.98	7500790	451436064.00
2016/11/22	60.55	63.47	60.55	63.43	9973680	626024384.00
2016/11/23	63.05	63.05	60.57	60.85	6528412	406735424.00
2016/11/24	60.83	61.47	58.05	58.56	6448988	387032224.00
2016/11/25	58.35	59.14	55.87	59.03	4978615	289595392.00
2016/11/28	58.77	58.83	57.05	57.12	3304572	192023504.00
2016/11/29	56.75	58.03	56.04	56.05	3264501	187346592.00
2016/11/30	55.70	56.51	55.56	56.13	2410807	136149680.00
2016/12/01	56.35	57.51	56.13	57.48	3451017	198172864.00
2016/12/02	57.25	57.54	55.21	55.22	3871278	218720320.00
2016/12/05	54.35	55.00	53.58	53.66	2740222	149412288.00
2016/12/06	53.96	54.93	53.96	54.20	2149983	118091896.00
2016/12/07	54.33	54.85	53.65	54.84	2190359	120134256.00
2016/12/08	54.97	55.43	54.06	54.09	2672881	147668336.00
2016/12/09	53.93	53.93	51.93	52.05	3593692	191185600.00
2016/12/12	52.14	52.14	46.87	47.11	4357767	216057776.00
2016/12/13	46.35	48.02	46.24	47.51	2808452	133687592.00
2016/12/14	47.25	47.53	46.15	46.33	2385232	112800504.00
2016/12/15	46.40	48.43	46.40	47.53	3063855	147194384.00
2016/12/16	47.53	48.60	47.25	48.35	2656108	128701336.00
2016/12/19	48.54	48.54	47.40	47.58	1805578	87135040.00
2016/12/20	47.58	48.22	47.45	47.62	1594062	76867888.00
2016/12/21	47.90	48.02	47.06	47.94	1869820	89868504.00
2016/12/22	47.84	48.62	47.27	48.30	2363671	114477424.00
2016/12/23	48.30	48.50	46.27	46.27	2446007	116697408.00
2016/12/26	45.55	46.50	44.21	46.34	2281388	104160008.00
2016/12/27	46.29	46.49	45.76	45.79	1211153	56289588.00
2016/12/28	45.93	46.00	45.05	45.10	1206974	55481996.00
2016/12/29	45.15	45.50	44.55	44.79	1298274	59048076.00
2016/12/30	44.85	45.21	44.56	44.83	1149528	52098192.00
2017/01/03	45.23	48.43	45.06	47.05	2712145	127912552.00
2017/01/04	46.65	47.49	46.38	47.23	2322320	110219208.00
2017/01/05	47.26	47.26	46.39	46.43	1604839	75705392.00
2017/01/06	46.41	46.41	44.41	44.54	2276211	103868696.00
2017/01/09	44.40	44.90	43.98	44.55	1248068	56017952.00
2017/01/10	44.73	44.83	44.06	44.10	1083156	48639476.00
2017/01/11	44.05	44.10	42.00	42.05	2595683	112326592.00
2017/01/12	42.00	42.49	40.43	40.64	2067265	86476288.00
2017/01/13	40.25	40.75	38.66	38.82	2603923	104210640.00
2017/01/16	38.35	38.92	35.03	36.14	2812654	105257160.00
2017/01/17	35.73	38.55	35.35	38.06	3205412	120314840.00
2017/01/18	37.80	37.80	36.39	36.51	1780458	66982444.00
2017/01/19	36.20	38.05	35.57	37.08	2254995	84664104.00
2017/01/20	37.20	38.38	36.80	38.12	2489301	95751416.00
2017/01/23	38.31	38.80	38.11	38.37	1740823	67722272.00
2017/01/24	38.54	38.54	37.28	37.31	1462467	55737956.00
2017/01/25	37.14	38.34	37.05	38.05	1455030	55782556.00
2017/01/26	38.24	38.49	37.96	38.29	1118941	43247232.00
2017/02/03	38.15	38.37	37.58	37.92	912644	35067328.00
2017/02/06	38.02	39.56	38.02	39.53	2829127	111705424.00
