300059 东方财富 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2010/03/19	2.20	2.25	2.09	2.10	19737326	1182393984.00
2010/03/22	2.21	2.33	2.17	2.33	11010362	693595712.00
2010/03/23	2.28	2.38	2.26	2.36	8552214	547135872.00
2010/03/24	2.36	2.60	2.34	2.50	7253024	491778560.00
2010/03/25	2.50	2.61	2.47	2.54	6022514	419010112.00
2010/03/26	2.51	2.53	2.43	2.49	4315433	295658720.00
2010/03/29	2.50	2.72	2.43	2.68	6768558	476779872.00
2010/03/30	2.66	2.92	2.65	2.89	4833058	366877088.00
2010/03/31	2.89	3.19	2.85	3.19	5881164	493669152.00
2010/04/01	3.20	3.47	3.13	3.18	6147886	553713280.00
2010/04/02	3.13	3.34	3.13	3.26	4970156	436542464.00
2010/04/06	3.29	3.59	3.26	3.59	4851636	450479392.00
2010/04/07	3.59	3.77	3.54	3.77	4694537	464443840.00
2010/04/08	3.70	3.75	3.38	3.38	6201852	596345728.00
2010/04/09	3.31	3.61	3.24	3.58	5894276	543470784.00
2010/04/12	3.51	3.54	3.23	3.35	5608177	515284832.00
2010/04/13	3.30	3.30	3.00	3.00	7863741	660275904.00
2010/04/14	2.95	3.05	2.89	2.99	4252674	345359328.00
2010/04/15	2.98	2.98	2.73	2.86	5392971	419930752.00
2010/04/16	2.81	2.95	2.80	2.86	3939987	310581760.00
2010/04/19	2.83	2.97	2.78	2.82	3357242	264804096.00
2010/04/20	2.84	2.85	2.58	2.66	3617104	263841872.00
2010/04/21	2.62	2.77	2.61	2.75	3463982	257638304.00
2010/04/22	2.72	2.92	2.70	2.86	4057484	314914400.00
2010/04/23	2.84	2.90	2.72	2.74	3069443	235719344.00
2010/04/27	2.55	2.68	2.54	2.59	3350742	238193360.00
2010/04/28	2.51	2.58	2.38	2.46	3072591	210769152.00
2010/04/29	2.49	2.55	2.41	2.42	2079992	142796000.00
2010/04/30	2.43	2.55	2.28	2.51	2672599	177296128.00
