300072 三聚环保 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2010/04/27	3.04	3.37	3.00	3.37	16754607	883432000.00
2010/04/28	3.25	3.34	3.00	3.16	9303979	488278080.00
2010/04/29	3.23	3.42	3.23	3.28	9312555	508870656.00
2010/04/30	3.27	3.27	2.93	3.20	5223622	271492480.00
2010/05/04	3.25	3.53	3.25	3.43	6824715	378121536.00
2010/05/05	3.35	3.62	3.33	3.54	5285174	303369056.00
2010/05/06	3.54	3.73	3.51	3.53	3992939	236160640.00
2010/05/07	3.44	3.57	3.17	3.20	4786377	265768768.00
2010/05/10	3.16	3.20	2.85	2.85	4323013	213934128.00
2010/05/11	2.98	3.03	2.84	2.87	3024636	148135552.00
2010/05/12	2.71	2.94	2.69	2.78	2161033	102113968.00
2010/05/13	2.80	2.88	2.70	2.85	1844944	86737592.00
2010/05/14	2.84	2.84	2.72	2.82	1896455	88494776.00
2010/05/17	2.75	2.87	2.73	2.74	2157559	100858624.00
2010/05/18	2.71	2.78	2.45	2.63	2370030	103569576.00
2010/05/19	2.59	2.84	2.55	2.74	2066384	94144736.00
2010/05/20	2.67	2.73	2.60	2.61	1458729	65839224.00
2010/05/21	2.49	2.83	2.49	2.80	1947665	88160848.00
2010/05/24	2.79	2.97	2.78	2.87	2219169	106975968.00
2010/05/25	2.82	2.90	2.78	2.81	1481810	70594992.00
2010/05/26	2.80	2.87	2.78	2.78	1194209	56452308.00
2010/05/27	2.76	3.03	2.76	2.99	2249868	109268840.00
2010/05/28	3.01	3.13	2.90	2.96	1869968	93838616.00
2010/05/31	2.94	3.07	2.89	2.89	1517049	75215256.00
2010/06/01	2.83	2.90	2.64	2.76	1317205	61260232.00
2010/06/03	2.83	2.88	2.73	2.73	1260442	59596800.00
2010/06/04	2.65	2.77	2.65	2.76	842114	38624336.00
2010/06/07	2.71	2.89	2.69	2.86	1356619	64069028.00
2010/06/08	2.86	3.08	2.83	2.98	2362053	117729280.00
2010/06/09	2.97	3.16	2.97	3.03	1672318	85389800.00
2010/06/10	3.03	3.15	3.01	3.08	1366341	69755824.00
2010/06/11	3.08	3.13	3.05	3.07	714169	36568116.00
2010/06/17	3.09	3.13	2.87	2.87	1069973	53440084.00
2010/06/18	2.88	2.92	2.74	2.79	792263	37498360.00
2010/06/21	2.79	2.96	2.74	2.92	546507	26268386.00
2010/06/22	2.92	3.04	2.89	3.00	596253	29445476.00
2010/06/23	2.99	3.03	2.91	2.97	544708	27052752.00
2010/06/24	2.98	3.08	2.95	2.99	783895	39503388.00
2010/06/25	2.98	3.00	2.78	2.82	997016	47599096.00
2010/06/28	2.79	2.82	2.67	2.73	662686	30520392.00
2010/06/29	2.74	2.80	2.47	2.48	756882	33415058.00
2010/06/30	2.40	2.47	2.27	2.39	880315	35533012.00
2010/07/01	2.34	2.38	2.23	2.24	926843	36566200.00
2010/07/02	2.27	2.29	2.07	2.17	928116	35020356.00
2010/07/05	2.14	2.17	2.07	2.14	342665	12601501.00
2010/07/06	2.14	2.26	2.11	2.25	544654	20783892.00
2010/07/07	2.21	2.30	2.21	2.27	580378	22477440.00
2010/07/08	2.28	2.28	2.07	2.14	1240523	46144460.00
2010/07/09	2.10	2.23	2.09	2.21	858648	32236730.00
2010/07/12	2.18	2.25	2.18	2.21	570269	21712948.00
2010/07/13	2.20	2.20	2.07	2.14	977155	35799108.00
2010/07/14	2.15	2.24	2.13	2.24	1084457	41027556.00
2010/07/15	2.23	2.23	2.10	2.10	853454	31913620.00
2010/07/16	2.07	2.10	1.97	1.99	891263	31337972.00
2010/07/19	2.01	2.07	2.00	2.03	777902	27573812.00
2010/07/20	2.03	2.18	2.03	2.13	1219597	44705624.00
2010/07/21	2.17	2.26	2.14	2.17	1388626	52575128.00
2010/07/22	2.16	2.19	2.12	2.17	1161850	43225260.00
2010/07/23	2.17	2.21	2.15	2.20	1186928	44671800.00
2010/07/26	2.24	2.34	2.22	2.29	1443833	56153624.00
2010/07/27	2.24	2.37	2.22	2.24	3116594	122203656.00
2010/07/28	2.21	2.27	2.18	2.26	2550097	97295768.00
2010/07/29	2.25	2.28	2.22	2.26	1452808	56079684.00
2010/07/30	2.24	2.29	2.24	2.29	1331405	51936328.00
2010/08/02	2.29	2.32	2.26	2.32	1425723	55897112.00
2010/08/03	2.31	2.32	2.22	2.22	1492910	58114996.00
2010/08/04	2.20	2.23	2.16	2.21	1260511	47629840.00
2010/08/05	2.21	2.28	2.20	2.23	1454348	56123396.00
2010/08/06	2.21	2.37	2.21	2.37	2659677	105109312.00
2010/08/09	2.37	2.49	2.34	2.44	2040841	84398104.00
2010/08/10	2.44	2.46	2.34	2.35	1550728	62911284.00
2010/08/11	2.34	2.41	2.33	2.40	1260977	51277304.00
2010/08/12	2.40	2.44	2.36	2.38	957236	39104368.00
2010/08/13	2.37	2.55	2.37	2.53	1740991	73161392.00
2010/08/16	2.53	2.60	2.49	2.58	1827587	78800032.00
2010/08/17	2.57	2.63	2.55	2.60	1131406	49631044.00
2010/08/18	2.61	2.61	2.55	2.61	1138771	49776600.00
2010/08/19	2.63	2.63	2.53	2.54	1712694	74842936.00
2010/08/20	2.54	2.56	2.25	2.42	1302801	54187248.00
2010/08/23	2.42	2.45	2.36	2.37	751291	30646732.00
2010/08/24	2.38	2.47	2.38	2.44	801460	33161994.00
2010/08/25	2.41	2.49	2.41	2.42	914757	38076652.00
2010/08/26	2.42	2.46	2.40	2.42	629877	26000730.00
2010/08/27	2.42	2.51	2.37	2.51	1051664	44252104.00
2010/08/30	2.53	2.60	2.51	2.57	965994	41821636.00
2010/08/31	2.56	2.63	2.51	2.61	1978590	85953432.00
2010/09/01	2.61	2.68	2.58	2.65	2896666	128331152.00
2010/09/02	2.65	2.82	2.62	2.76	2107346	96911144.00
2010/09/03	2.74	2.89	2.73	2.86	1498833	70568208.00
2010/09/06	2.87	2.89	2.66	2.67	1384965	63258764.00
2010/09/07	2.67	2.69	2.62	2.67	955440	42761296.00
2010/09/08	2.66	2.74	2.64	2.71	684638	31048680.00
2010/09/09	2.74	2.78	2.60	2.62	985553	44522088.00
2010/09/10	2.62	2.66	2.59	2.64	672697	29881562.00
2010/09/13	2.64	2.69	2.63	2.66	857537	38466320.00
2010/09/14	2.66	2.71	2.64	2.68	878743	39598108.00
2010/09/15	2.68	2.71	2.47	2.48	1861087	79986144.00
