300104 乐视网 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2010/08/12	1.35	1.37	1.16	1.17	15301864	707098752.00
2010/08/13	1.23	1.25	1.18	1.21	8987041	402684160.00
2010/08/16	1.14	1.18	1.13	1.17	6120034	259750816.00
2010/08/17	1.16	1.20	1.16	1.18	4062009	176281344.00
2010/08/18	1.19	1.19	1.13	1.14	4267404	180362512.00
2010/08/19	1.14	1.16	1.13	1.14	2859426	121042848.00
2010/08/20	1.13	1.15	1.13	1.14	2443719	102728056.00
2010/08/23	1.14	1.15	1.08	1.09	3670158	149675536.00
2010/08/24	1.09	1.09	1.05	1.08	2630181	103681400.00
2010/08/25	1.07	1.09	1.05	1.05	1897568	75187808.00
2010/08/26	1.06	1.07	1.04	1.07	1721984	67419616.00
2010/08/27	1.06	1.08	1.06	1.07	1364248	53833300.00
2010/08/30	1.08	1.10	1.08	1.09	1796739	72108440.00
2010/08/31	1.08	1.09	1.07	1.08	1509819	60161648.00
2010/09/01	1.08	1.13	1.08	1.11	2700543	110331920.00
2010/09/02	1.11	1.13	1.10	1.12	2421649	99600520.00
2010/09/03	1.11	1.14	1.10	1.12	2199662	90833688.00
2010/09/06	1.12	1.13	1.05	1.06	2315248	92410976.00
2010/09/07	1.07	1.08	1.06	1.07	860417	33946812.00
2010/09/08	1.05	1.07	1.05	1.06	1208879	47175816.00
2010/09/09	1.06	1.08	1.05	1.06	1333960	52405904.00
2010/09/10	1.05	1.06	1.03	1.04	1431856	55322908.00
2010/09/13	1.04	1.07	1.04	1.07	1362743	53208812.00
2010/09/14	1.08	1.08	1.05	1.05	1041612	40828972.00
2010/09/15	1.04	1.05	0.97	0.98	1936146	72151600.00
2010/09/16	0.98	0.98	0.93	0.95	1508240	53514812.00
2010/09/17	0.95	0.97	0.94	0.95	837828	29744268.00
2010/09/20	0.95	0.96	0.93	0.93	636099	22203246.00
2010/09/21	0.94	0.94	0.89	0.90	915541	31051642.00
2010/09/27	0.90	0.91	0.90	0.91	628933	21217780.00
2010/09/28	0.93	1.01	0.93	1.01	2986781	109773240.00
2010/09/29	0.99	1.01	0.96	1.01	2486068	90835576.00
2010/09/30	1.00	1.02	0.99	1.00	1121766	41837028.00
2010/10/08	1.01	1.03	1.00	1.01	1425006	53506964.00
2010/10/11	1.01	1.01	0.98	0.98	1320345	48362732.00
2010/10/12	0.98	1.00	0.98	0.98	782619	28724670.00
2010/10/13	0.97	0.97	0.95	0.97	1092833	39146180.00
2010/10/14	0.96	1.00	0.96	0.96	1064180	38687740.00
2010/10/15	0.96	0.96	0.92	0.94	993279	35042204.00
2010/10/18	0.95	0.95	0.91	0.95	791056	27395510.00
2010/10/19	0.95	1.03	0.95	1.00	1881607	69691536.00
2010/10/20	0.98	1.02	0.98	1.00	1491645	55550888.00
2010/10/21	1.01	1.03	0.99	1.02	1288399	48271600.00
2010/10/22	1.01	1.04	1.01	1.03	1406344	53557704.00
2010/10/25	1.03	1.08	1.03	1.07	2120664	83275824.00
2010/10/26	1.08	1.08	1.05	1.06	1133445	44391112.00
2010/10/27	1.06	1.08	1.03	1.03	1026484	39676444.00
2010/10/28	1.03	1.06	1.03	1.05	1119828	43269756.00
2010/10/29	1.05	1.11	1.04	1.09	2188593	87696248.00
2010/11/01	1.10	1.11	1.05	1.09	2820200	112833160.00
2010/11/02	1.09	1.09	1.04	1.05	1677457	65968476.00
2010/11/03	1.04	1.04	1.02	1.02	1286189	48983696.00
2010/11/04	1.02	1.05	1.02	1.04	804958	30827826.00
2010/11/05	1.04	1.05	1.03	1.04	886200	33937124.00
2010/11/08	1.04	1.08	1.04	1.07	1118210	43965536.00
2010/11/09	1.07	1.09	1.06	1.07	1050731	41709372.00
2010/11/10	1.07	1.14	1.06	1.13	2230034	92041152.00
2010/11/11	1.12	1.20	1.11	1.15	3490117	148780944.00
2010/11/12	1.14	1.17	1.06	1.07	3637079	149710800.00
2010/11/15	1.07	1.14	1.07	1.14	2225608	90824496.00
2010/11/16	1.15	1.16	1.08	1.10	2722589	112813096.00
2010/11/17	1.08	1.15	1.08	1.10	2556052	105927560.00
2010/11/18	1.12	1.20	1.09	1.19	2904829	123434288.00
2010/11/19	1.19	1.24	1.17	1.23	3538252	157353888.00
2010/11/22	1.21	1.25	1.19	1.21	3278301	146760624.00
2010/11/23	1.20	1.30	1.19	1.29	3659201	168108208.00
2010/11/24	1.28	1.36	1.27	1.35	3395915	165185840.00
2010/11/25	1.36	1.37	1.29	1.32	2047612	99251352.00
2010/11/26	1.31	1.45	1.31	1.45	3199310	166642240.00
2010/11/29	1.44	1.51	1.43	1.46	2978545	158835088.00
2010/11/30	1.46	1.46	1.32	1.37	3263096	165999056.00
2010/12/01	1.37	1.48	1.36	1.42	1749098	91355344.00
2010/12/02	1.43	1.45	1.37	1.40	1052804	54203928.00
2010/12/03	1.41	1.41	1.31	1.36	2474281	122228040.00
2010/12/07	1.31	1.38	1.27	1.37	1974985	95477904.00
2010/12/08	1.35	1.41	1.34	1.36	1276502	64163524.00
2010/12/09	1.39	1.44	1.36	1.37	2349359	119629464.00
2010/12/10	1.40	1.51	1.40	1.51	2713186	146986288.00
2010/12/13	1.67	1.67	1.67	1.67	675040	40839920.00
2010/12/14	1.76	1.84	1.72	1.79	6280328	403001728.00
2010/12/15	1.77	1.80	1.69	1.73	2905780	183153792.00
2010/12/16	1.77	1.91	1.74	1.86	5351334	360510560.00
2010/12/17	1.80	1.82	1.74	1.78	2834597	182553760.00
2010/12/20	1.76	1.78	1.64	1.66	3501546	215057728.00
2010/12/21	1.68	1.71	1.64	1.69	2690308	163478960.00
2010/12/22	1.70	1.81	1.65	1.73	3214652	201562848.00
2010/12/23	1.71	1.78	1.63	1.65	2363909	147340288.00
2010/12/24	1.60	1.67	1.56	1.65	2441472	142407760.00
2010/12/27	1.65	1.71	1.58	1.58	2147101	128589408.00
2010/12/28	1.60	1.69	1.60	1.62	2617179	155505216.00
2010/12/29	1.60	1.67	1.57	1.66	2004189	118474104.00
2010/12/30	1.65	1.79	1.65	1.77	3235746	202629280.00
2010/12/31	1.79	1.80	1.74	1.78	2361823	150762128.00
2011/01/04	1.78	1.82	1.73	1.82	2471644	157708464.00
2011/01/05	1.80	1.91	1.76	1.77	2797277	186354080.00
2011/01/06	1.77	1.81	1.73	1.74	1877901	119813544.00
2011/01/07	1.74	1.80	1.73	1.78	1730078	110505464.00
2011/01/10	1.76	1.76	1.59	1.59	2932889	175739376.00
2011/01/11	1.57	1.59	1.51	1.53	1742727	97948480.00
2011/01/12	1.54	1.56	1.45	1.51	1912673	104787152.00
2011/01/13	1.51	1.56	1.48	1.54	1443670	80081344.00
2011/01/14	1.52	1.53	1.45	1.45	1033340	55806692.00
2011/01/17	1.45	1.49	1.43	1.47	955227	50852772.00
2011/01/18	1.47	1.47	1.43	1.45	594938	31477372.00
2011/01/19	1.45	1.51	1.40	1.49	1109514	59939968.00
2011/01/20	1.46	1.54	1.45	1.49	1347063	73410104.00
2011/01/21	1.48	1.48	1.41	1.46	1576916	83035752.00
2011/01/24	1.45	1.46	1.31	1.31	1830188	90365664.00
2011/01/25	1.30	1.30	1.19	1.23	1449586	65442872.00
2011/01/26	1.23	1.26	1.21	1.24	688952	31343696.00
2011/01/27	1.23	1.28	1.19	1.25	973409	44171308.00
2011/01/28	1.25	1.31	1.24	1.27	1007466	47189848.00
2011/01/31	1.27	1.31	1.26	1.30	754602	35616380.00
2011/02/01	1.28	1.30	1.23	1.27	873093	40550224.00
2011/02/09	1.26	1.27	1.21	1.21	722317	32821206.00
2011/02/10	1.21	1.34	1.21	1.34	928349	44191552.00
