300124 汇川技术 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2010/09/28	4.86	5.19	4.72	5.07	18773632	1704527232.00
2010/09/29	5.00	5.08	4.77	4.94	4917781	444138368.00
2010/09/30	5.07	5.36	4.96	5.21	3720229	346557760.00
2010/10/08	5.21	5.86	5.21	5.86	3623297	357932192.00
2010/10/11	5.76	6.17	5.67	6.15	3534970	370544800.00
2010/10/12	6.04	6.31	6.01	6.22	1806068	194469504.00
2010/10/13	6.06	6.67	5.90	6.67	1993573	217271312.00
2010/10/14	6.59	6.73	6.24	6.34	2307495	259114496.00
2010/10/15	6.43	6.67	6.06	6.29	1422946	156987696.00
2010/10/18	6.11	6.40	5.79	6.39	1562725	165765344.00
2010/10/19	6.31	6.84	6.23	6.39	1776960	200095184.00
2010/10/20	6.22	6.53	6.08	6.53	859623	94899928.00
2010/10/21	6.70	7.29	6.46	7.01	947102	111230232.00
2010/10/22	6.95	7.60	6.95	7.28	643791	79350016.00
2010/10/25	7.33	8.15	7.33	7.99	995891	133045216.00
2010/10/26	7.85	8.19	7.79	8.04	548705	73608264.00
2010/10/27	8.13	8.59	8.04	8.35	613615	85463624.00
2010/10/28	8.41	8.76	8.07	8.29	797452	110346792.00
2010/10/29	8.14	8.54	8.14	8.40	528008	74012160.00
2010/11/01	8.47	9.11	8.47	9.07	881274	130593640.00
2010/11/02	9.08	9.10	8.73	9.04	676042	98979336.00
2010/11/03	8.91	9.07	8.27	8.35	802751	115161840.00
2010/11/04	8.31	8.72	8.24	8.56	581810	82304736.00
2010/11/05	8.59	8.83	8.33	8.57	598526	85015096.00
2010/11/08	8.54	9.29	8.52	9.25	726889	107762976.00
2010/11/09	9.29	9.38	9.11	9.37	444774	67542880.00
2010/11/10	9.25	9.96	9.18	9.82	513663	81256360.00
2010/11/11	9.82	10.01	9.60	9.60	526366	84319984.00
2010/11/12	9.67	9.80	8.83	9.23	654263	100103168.00
2010/11/15	9.32	9.95	9.18	9.94	592319	92019256.00
2010/11/16	9.94	10.28	9.31	9.53	604213	96342712.00
2010/11/17	9.26	9.49	8.88	8.94	594344	89451448.00
2010/11/18	8.97	9.56	8.90	9.39	444197	67698096.00
2010/11/19	9.42	9.87	9.28	9.80	416990	65256688.00
2010/11/22	9.80	10.15	9.53	9.83	585813	94089128.00
2010/11/23	9.81	9.92	9.55	9.79	334779	53131620.00
2010/11/24	9.78	10.08	9.64	10.06	383512	62193236.00
2010/11/25	9.89	10.36	9.84	10.19	702861	115651128.00
2010/11/26	10.10	10.15	9.78	9.80	438382	70704688.00
2010/11/29	9.83	9.87	9.60	9.78	479873	76244528.00
2010/11/30	9.87	9.89	9.11	9.59	549380	85390584.00
2010/12/01	9.60	9.80	9.25	9.39	355126	54966712.00
2010/12/02	9.53	9.60	9.32	9.33	310838	47946368.00
2010/12/06	9.18	9.39	9.13	9.13	394672	59972456.00
2010/12/07	9.12	9.53	9.10	9.50	547893	84469312.00
2010/12/08	9.46	9.52	9.22	9.39	864369	133004640.00
2010/12/09	9.25	9.38	9.19	9.34	306214	46808040.00
2010/12/10	9.35	9.78	9.32	9.63	581967	91514824.00
2010/12/13	9.69	9.87	9.61	9.80	538014	85996672.00
2010/12/14	9.77	9.87	9.46	9.56	567733	89357816.00
2010/12/15	9.49	9.55	9.24	9.35	531364	81580128.00
2010/12/16	9.25	9.45	9.18	9.25	467149	71280240.00
2010/12/17	9.25	9.37	9.00	9.04	606412	91307848.00
2010/12/20	9.02	9.11	8.69	8.78	1057386	155203728.00
2010/12/21	8.78	8.93	8.62	8.90	635127	92042576.00
2010/12/22	8.86	8.95	8.70	8.75	387340	56206192.00
2010/12/23	8.71	9.11	8.71	8.96	1030042	152350336.00
2010/12/24	8.91	8.96	8.28	8.34	740884	105205928.00
2010/12/27	8.34	8.47	7.78	7.90	480175	65646704.00
2010/12/28	7.75	7.88	7.44	7.67	2350930	302639168.00
2010/12/29	7.68	7.92	7.50	7.87	1651806	214521728.00
2010/12/30	7.83	8.15	7.78	8.03	897250	120726600.00
2010/12/31	8.09	8.41	7.99	8.40	737546	101069704.00
2011/01/04	8.47	8.72	8.41	8.69	809180	115841712.00
2011/01/05	8.69	9.07	8.51	8.91	819907	119169920.00
2011/01/06	9.16	9.56	9.15	9.24	1425608	219712976.00
2011/01/07	9.11	9.31	8.97	9.24	748705	112772792.00
2011/01/10	9.24	9.24	8.28	8.38	758781	109423880.00
2011/01/11	8.30	8.38	7.95	8.10	764742	103847224.00
2011/01/12	8.10	8.20	7.85	8.06	461180	62066696.00
2011/01/13	8.20	8.76	8.11	8.56	713464	100674904.00
2011/01/14	8.48	8.73	8.33	8.52	425788	60320284.00
2011/01/17	8.69	8.75	8.06	8.33	597353	82966792.00
2011/01/19	8.38	8.72	8.17	8.68	493294	69542272.00
2011/01/20	8.67	8.69	8.18	8.20	580342	81799024.00
2011/01/21	8.08	8.38	7.92	8.14	412257	56063848.00
2011/01/24	8.13	8.27	7.55	7.62	797804	104033960.00
2011/01/25	7.55	7.62	7.23	7.58	665774	83357896.00
2011/01/26	7.56	7.76	7.44	7.68	261878	33790740.00
2011/01/27	7.65	8.12	7.54	8.03	434360	57781416.00
2011/01/28	7.93	8.24	7.93	8.22	236978	32134824.00
2011/01/31	8.11	8.70	8.06	8.61	440174	62574088.00
2011/02/01	8.55	8.73	8.42	8.63	233589	33364804.00
2011/02/09	8.49	8.62	7.98	7.99	299650	41489764.00
2011/02/10	7.92	8.48	7.92	8.47	352747	48310900.00
2011/02/11	8.47	8.59	8.34	8.55	277438	38955212.00
2011/02/14	8.55	8.65	8.39	8.55	366410	51943712.00
2011/02/15	8.50	8.84	8.39	8.40	423147	60463324.00
2011/02/16	8.34	8.76	8.31	8.75	352288	50257200.00
2011/02/17	8.73	8.95	8.59	8.65	399224	57839840.00
2011/02/18	8.69	8.88	8.59	8.83	376758	54545108.00
2011/02/21	8.76	9.16	8.70	9.02	423701	63004032.00
2011/02/22	9.01	9.11	8.33	8.34	561841	79830160.00
2011/02/23	8.33	8.55	8.33	8.50	296356	41623868.00
2011/02/24	8.52	8.55	7.91	8.18	693966	94743288.00
2011/02/25	8.11	8.27	8.07	8.20	269653	36874288.00
2011/02/28	8.06	8.47	7.82	8.25	543756	73803584.00
2011/03/01	8.29	8.29	7.91	8.06	733123	98663272.00
2011/03/02	8.00	8.06	7.82	7.90	439032	58201256.00
2011/03/03	7.85	8.11	7.85	7.92	262632	35279456.00
2011/03/04	7.88	8.06	7.78	8.01	159868	21229414.00
2011/03/07	8.02	8.16	7.99	8.08	410234	55454536.00
2011/03/08	8.08	8.08	7.90	7.97	214100	28601976.00
2011/03/09	7.97	8.05	7.89	7.98	244721	32656192.00
2011/03/10	7.97	8.17	7.97	8.07	353231	47938916.00
2011/03/11	8.04	8.61	8.02	8.49	624669	87315224.00
2011/03/14	8.50	8.64	8.35	8.50	301990	42523996.00
2011/03/15	8.49	8.60	8.19	8.30	383084	53125604.00
2011/03/16	8.30	8.49	8.14	8.45	414787	57689132.00
2011/03/17	8.44	8.67	8.31	8.33	503270	70959064.00
2011/03/18	8.35	8.55	8.31	8.39	278241	38906536.00
2011/03/21	8.36	8.56	8.36	8.48	366565	51640112.00
2011/03/22	8.51	8.52	7.99	8.30	579409	79069728.00
2011/03/23	8.23	8.54	8.07	8.44	768988	106685024.00
2011/03/24	8.48	8.58	8.22	8.34	342789	47844404.00
2011/03/25	8.40	8.47	8.31	8.43	352303	49076244.00
2011/03/28	8.45	8.50	8.24	8.24	467012	64729116.00
2011/03/29	8.13	8.30	8.00	8.06	416369	56530836.00
2011/03/30	8.06	8.06	7.68	7.70	400763	52832208.00
2011/03/31	7.70	7.85	7.70	7.82	687401	89700080.00
2011/04/01	7.78	7.80	7.65	7.78	197368	25705134.00
2011/04/06	7.78	7.86	7.65	7.85	226598	29538368.00
2011/04/07	7.74	7.90	7.74	7.79	326921	43032396.00
2011/04/08	7.78	8.09	7.76	8.04	183908	24639750.00
2011/04/11	8.04	8.10	7.77	7.85	254204	33501208.00
2011/04/12	7.85	7.85	7.70	7.72	219557	28575290.00
2011/04/13	7.70	7.93	7.64	7.83	141250	18511034.00
2011/04/14	7.84	7.94	7.81	7.89	140220	18585850.00
2011/04/18	7.92	7.98	7.55	7.68	345097	44732508.00
2011/04/19	7.67	7.86	7.56	7.71	259380	33544786.00
2011/04/20	7.69	8.03	7.65	8.00	392068	51971348.00
2011/04/21	7.99	8.11	7.91	8.10	293882	39602188.00
2011/04/22	8.05	8.20	7.98	8.03	258870	34993516.00
2011/04/25	8.06	8.45	7.97	8.30	291317	40089548.00
2011/04/26	8.31	8.31	7.71	8.06	339668	45651860.00
2011/04/27	8.37	8.92	8.22	8.61	1000543	142277392.00
2011/04/28	8.41	8.55	8.27	8.32	393463	55039244.00
2011/04/29	8.34	8.47	8.21	8.40	494733	68824392.00
2011/05/03	8.41	8.77	8.29	8.42	734861	51464824.00
2011/05/04	8.22	8.31	8.10	8.18	406233	27564810.00
2011/05/05	8.11	8.40	8.11	8.22	376015	25749086.00
2011/05/06	8.15	8.15	7.78	7.87	1135460	74422280.00
2011/05/09	7.87	8.08	7.84	8.00	582913	38743892.00
2011/05/10	8.00	8.06	7.90	8.02	166599	11041902.00
2011/05/11	8.02	8.35	7.94	8.31	381174	25989784.00
2011/05/12	8.21	8.70	8.11	8.54	764450	53629644.00
2011/05/13	8.54	8.61	8.35	8.55	565527	39626164.00
2011/05/16	8.69	9.18	8.52	8.81	805154	58847148.00
2011/05/17	8.77	8.94	8.48	8.50	535857	37907620.00
2011/05/18	8.48	8.87	8.23	8.60	356605	25188544.00
2011/05/19	8.51	8.83	8.43	8.55	454844	32230442.00
2011/05/20	8.56	8.82	8.49	8.75	415198	29560128.00
2011/05/23	8.79	8.82	8.50	8.51	587347	41499000.00
2011/05/24	8.36	8.95	8.23	8.93	957897	68184360.00
2011/05/25	8.93	9.16	8.81	8.88	861670	63301008.00
2011/05/26	8.88	8.98	8.56	8.70	961649	68685664.00
2011/05/27	8.70	8.73	8.50	8.56	718054	50695220.00
2011/05/30	8.51	8.64	8.29	8.50	530151	37014968.00
2011/05/31	8.48	8.52	8.08	8.49	752354	51591540.00
2011/06/01	8.38	8.55	8.36	8.47	298728	20841316.00
2011/06/02	8.35	8.48	8.20	8.40	382136	26358684.00
2011/06/03	8.43	8.52	8.38	8.49	286485	20017908.00
2011/06/07	8.49	8.54	8.43	8.52	138140	9670620.00
2011/06/08	8.53	8.78	8.48	8.58	434848	30851798.00
2011/06/09	8.54	8.60	8.38	8.45	247437	17259718.00
2011/06/10	8.43	8.56	8.36	8.52	238915	16648347.00
2011/06/13	8.47	8.56	8.37	8.49	112096	7828074.50
2011/06/14	8.49	8.76	8.43	8.64	208951	14826775.00
2011/06/15	8.63	8.67	8.36	8.43	345195	24104326.00
2011/06/16	8.43	8.49	8.37	8.39	149947	10395536.00
2011/06/20	8.35	8.35	7.96	8.22	1370112	91784568.00
2011/06/21	8.14	8.17	7.92	7.95	524537	34926160.00
2011/06/22	7.95	8.13	7.94	7.97	313219	20966368.00
2011/06/23	7.95	8.18	7.90	8.18	418029	27928790.00
2011/06/24	8.16	8.39	8.08	8.25	435599	29846284.00
2011/06/27	8.29	8.44	8.25	8.33	250464	17230194.00
2011/06/28	8.27	8.36	8.15	8.34	208405	14274045.00
2011/06/29	8.24	8.45	8.22	8.35	228896	15769118.00
2011/06/30	8.26	8.36	8.09	8.34	679819	46279336.00
2011/07/01	8.23	8.44	8.23	8.41	328402	22611746.00
2011/07/04	8.42	8.82	8.42	8.63	612683	43713796.00
2011/07/05	8.63	8.75	8.55	8.61	356769	25391548.00
2011/07/06	8.62	9.12	8.48	9.08	1334956	97358200.00
2011/07/07	9.08	9.46	9.00	9.19	876544	66092664.00
2011/07/08	9.18	9.30	9.02	9.14	363438	27164638.00
2011/07/11	9.09	9.26	8.91	9.14	353902	26420914.00
2011/07/12	9.14	9.40	9.07	9.36	745680	56244116.00
2011/07/13	9.36	9.64	9.27	9.62	640944	49391424.00
2011/07/14	9.61	9.68	9.40	9.59	437520	33964376.00
