300296 利亚德 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2012/03/15	1.69	1.92	1.69	1.92	12063503	286407296.00
2012/03/16	1.77	1.84	1.71	1.76	10905261	249214304.00
2012/03/19	1.69	1.75	1.67	1.70	6404512	143773120.00
2012/03/20	1.69	1.70	1.52	1.53	6915852	145108560.00
2012/03/21	1.51	1.51	1.38	1.43	4945315	94720264.00
2012/03/22	1.41	1.45	1.41	1.42	2844142	54145628.00
2012/03/23	1.41	1.46	1.40	1.45	3470939	66459432.00
2012/03/26	1.45	1.45	1.39	1.40	2510711	47466060.00
2012/03/27	1.41	1.42	1.38	1.38	2039565	38134356.00
2012/03/28	1.36	1.36	1.23	1.23	3314103	57006132.00
2012/03/29	1.21	1.24	1.18	1.21	2468066	40644532.00
2012/03/30	1.21	1.23	1.17	1.18	2024174	33164400.00
2012/04/05	1.20	1.23	1.17	1.23	1975918	32544714.00
2012/04/06	1.23	1.25	1.22	1.23	2046923	34262064.00
2012/04/09	1.23	1.23	1.19	1.20	1528610	25226756.00
2012/04/10	1.19	1.33	1.18	1.33	4241320	73112304.00
2012/04/11	1.29	1.33	1.28	1.32	3138677	55010248.00
2012/04/12	1.30	1.32	1.27	1.31	2663001	46481724.00
2012/04/13	1.31	1.34	1.29	1.30	2550932	45178060.00
2012/04/16	1.29	1.29	1.26	1.27	1478233	25501984.00
2012/04/17	1.28	1.28	1.23	1.26	1668404	28425570.00
2012/04/18	1.27	1.30	1.25	1.29	1727192	29818506.00
2012/04/19	1.29	1.31	1.28	1.30	2102210	36818400.00
2012/04/20	1.31	1.36	1.31	1.35	3757262	67349376.00
2012/04/23	1.32	1.34	1.20	1.20	3462662	59043804.00
2012/04/24	1.19	1.23	1.14	1.20	1976822	31887964.00
2012/04/25	1.20	1.20	1.16	1.17	1360478	21858094.00
2012/04/26	1.18	1.20	1.17	1.18	1016233	16365922.00
2012/04/27	1.18	1.23	1.17	1.21	1545236	25315316.00
2012/05/02	1.23	1.25	1.21	1.23	1143810	19131456.00
2012/05/03	1.23	1.25	1.22	1.25	991415	16645413.00
2012/05/04	1.24	1.27	1.24	1.26	1319406	22512130.00
2012/05/07	1.26	1.27	1.24	1.27	1415687	24052252.00
2012/05/08	1.27	1.27	1.25	1.26	1234538	21078234.00
2012/05/09	1.25	1.25	1.21	1.21	1211694	20166366.00
2012/05/10	1.21	1.23	1.21	1.22	825480	13667877.00
2012/05/11	1.22	1.23	1.20	1.20	826845	13626798.00
2012/05/14	1.21	1.21	1.19	1.19	732193	11967117.00
2012/05/15	1.17	1.21	1.17	1.21	813150	13153640.00
2012/05/16	1.21	1.21	1.19	1.19	568701	9298549.00
2012/05/17	1.21	1.30	1.21	1.29	3201673	54608112.00
2012/05/18	1.26	1.30	1.25	1.25	2158684	36982620.00
2012/05/21	1.24	1.28	1.24	1.27	1456539	24988816.00
2012/05/22	1.27	1.29	1.26	1.28	1306999	22536252.00
2012/05/23	1.28	1.29	1.23	1.26	1224205	20823896.00
2012/05/24	1.24	1.28	1.24	1.24	1128698	19205052.00
2012/05/25	1.25	1.28	1.24	1.25	1033003	17588312.00
2012/05/28	1.25	1.25	1.14	1.19	1926349	30794682.00
2012/05/29	1.18	1.21	1.18	1.20	1036569	16860072.00
2012/05/30	1.20	1.23	1.19	1.22	1286252	21091734.00
2012/05/31	1.20	1.30	1.20	1.27	2301692	39084560.00
2012/06/01	1.27	1.30	1.25	1.28	1615228	27610002.00
2012/06/04	1.25	1.26	1.21	1.21	1331010	22291738.00
2012/06/05	1.21	1.23	1.19	1.19	841067	13668645.00
2012/06/06	1.20	1.21	1.19	1.20	515101	8372215.50
2012/06/07	1.22	1.22	1.17	1.17	728817	11809820.00
2012/06/08	1.19	1.19	1.17	1.18	517918	8315760.00
2012/06/11	1.18	1.23	1.17	1.22	726242	11894621.00
2012/06/12	1.22	1.22	1.19	1.21	675516	11072292.00
2012/06/13	1.22	1.26	1.21	1.25	1396171	23466256.00
2012/06/14	1.24	1.27	1.23	1.25	1440281	24345152.00
2012/06/15	1.25	1.26	1.21	1.23	1540265	25643242.00
2012/06/18	1.23	1.30	1.23	1.29	3753532	64293760.00
2012/06/19	1.28	1.30	1.26	1.27	2347469	40309912.00
2012/06/20	1.28	1.35	1.27	1.31	4097350	72022368.00
2012/06/21	1.30	1.31	1.24	1.28	2462654	42193352.00
2012/06/25	1.26	1.27	1.23	1.24	1347000	22714860.00
2012/06/26	1.23	1.24	1.19	1.24	1373468	22648128.00
2012/06/27	1.24	1.32	1.23	1.29	3078530	53151436.00
2012/06/28	1.29	1.36	1.27	1.31	4457810	79076056.00
2012/06/29	1.30	1.39	1.28	1.37	4087503	74005864.00
2012/07/02	1.38	1.39	1.35	1.37	3891445	71158808.00
2012/07/03	1.37	1.41	1.35	1.38	3275610	60264852.00
2012/07/04	1.38	1.39	1.32	1.32	3003764	54153464.00
2012/07/05	1.32	1.32	1.28	1.30	2576205	44768836.00
2012/07/06	1.30	1.34	1.27	1.33	2563618	44978816.00
2012/07/09	1.32	1.33	1.26	1.26	2056791	35798228.00
2012/07/10	1.24	1.24	1.14	1.16	2904570	46870240.00
2012/07/11	1.16	1.17	1.14	1.16	1173558	18453716.00
2012/07/12	1.16	1.20	1.15	1.19	1628376	25998504.00
2012/07/13	1.19	1.19	1.08	1.08	2859124	44174892.00
2012/07/16	1.07	1.07	0.95	0.96	2808510	39112144.00
2012/07/17	0.96	0.98	0.94	0.97	1323260	17800778.00
2012/07/18	0.96	0.97	0.93	0.97	1239731	16472796.00
2012/07/19	0.97	1.01	0.96	0.99	1715105	23678088.00
2012/07/20	1.00	1.00	0.98	0.99	904468	12400430.00
2012/07/23	0.97	1.00	0.95	0.99	675336	9231524.00
2012/07/24	0.98	1.01	0.97	1.00	711594	9852180.00
2012/07/25	1.01	1.04	0.99	1.01	1299730	18361090.00
2012/07/26	1.01	1.02	0.99	0.99	886145	12300397.00
2012/07/27	0.99	1.00	0.98	0.99	647172	8881064.00
