300315 掌趣科技 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2012/05/11	2.03	2.14	1.90	1.90	18974012	482390912.00
2012/05/14	1.86	2.10	1.86	2.04	23448365	598569728.00
2012/05/15	2.02	2.13	2.00	2.03	15020928	389407072.00
2012/05/16	2.00	2.18	1.98	2.14	14221057	374705888.00
2012/05/17	2.12	2.19	2.08	2.15	11333658	303187456.00
2012/05/18	2.12	2.17	2.01	2.03	10254072	268039408.00
2012/05/21	1.99	2.01	1.82	1.82	10236875	241304256.00
2012/05/22	1.77	1.85	1.75	1.81	6631023	150536864.00
2012/05/23	1.79	1.81	1.72	1.74	6056587	134494272.00
2012/05/24	1.74	1.81	1.73	1.78	5285058	118623824.00
2012/05/25	1.76	1.77	1.60	1.62	6636862	141026208.00
2012/05/28	1.60	1.61	1.54	1.60	3387501	68004824.00
2012/05/29	1.59	1.70	1.58	1.66	3758871	79322000.00
2012/05/30	1.63	1.72	1.63	1.65	3796382	80828976.00
2012/05/31	1.63	1.74	1.63	1.70	4990574	107837920.00
2012/06/01	1.70	1.72	1.65	1.67	2744513	58617664.00
2012/06/04	1.61	1.73	1.59	1.70	4192342	88888048.00
2012/06/05	1.69	1.78	1.69	1.75	4719781	104380880.00
2012/06/06	1.74	1.76	1.71	1.73	2503543	54869456.00
2012/06/07	1.75	1.75	1.64	1.64	2913100	62365228.00
2012/06/08	1.65	1.79	1.63	1.74	5570685	121901120.00
2012/06/11	1.72	1.77	1.69	1.75	4438616	97716632.00
2012/06/12	1.73	1.79	1.71	1.74	3863744	85403472.00
2012/06/13	1.74	1.81	1.72	1.77	4215387	94169408.00
2012/06/14	1.76	1.82	1.75	1.76	3889968	87580024.00
2012/06/15	1.76	1.77	1.72	1.74	2806919	61921352.00
2012/06/18	1.75	1.82	1.74	1.78	3006132	67951752.00
2012/06/19	1.77	1.81	1.75	1.76	2683095	60327388.00
2012/06/20	1.77	1.86	1.75	1.82	6000504	138262560.00
2012/06/21	1.80	1.82	1.76	1.78	3345633	75443880.00
2012/06/25	1.76	1.76	1.68	1.70	3092269	66908396.00
2012/06/26	1.67	1.69	1.63	1.67	1926158	40552496.00
2012/06/27	1.67	1.72	1.66	1.68	2188350	46872112.00
2012/06/28	1.67	1.69	1.60	1.62	2251155	46930040.00
2012/06/29	1.58	1.65	1.58	1.64	1437436	29758474.00
2012/07/02	1.66	1.67	1.62	1.63	1718640	35942696.00
2012/07/03	1.64	1.72	1.63	1.70	3236063	69001120.00
2012/07/04	1.69	1.73	1.66	1.67	2047149	43820912.00
2012/07/05	1.67	1.67	1.59	1.60	1739550	35820544.00
2012/07/06	1.61	1.62	1.45	1.53	5093961	98846136.00
2012/07/09	1.49	1.51	1.46	1.47	2182106	41437964.00
2012/07/10	1.47	1.49	1.43	1.46	1483171	27646528.00
2012/07/11	1.46	1.50	1.45	1.50	1397461	26389222.00
2012/07/12	1.55	1.57	1.51	1.55	3186993	62780784.00
2012/07/13	1.53	1.55	1.50	1.51	1651738	32181860.00
2012/07/16	1.49	1.51	1.39	1.40	2392815	43909236.00
2012/07/17	1.39	1.43	1.39	1.42	1102412	19917216.00
2012/07/18	1.41	1.42	1.38	1.42	1116081	20040286.00
2012/07/19	1.42	1.52	1.41	1.47	3133388	59603236.00
2012/07/20	1.45	1.52	1.45	1.48	1811103	34600268.00
2012/07/23	1.48	1.54	1.47	1.50	1402005	27027062.00
2012/07/24	1.48	1.52	1.46	1.49	1195711	22693232.00
2012/07/25	1.49	1.59	1.48	1.55	3492247	69117952.00
2012/07/26	1.53	1.56	1.52	1.52	1696392	33200168.00
2012/07/27	1.52	1.57	1.51	1.57	2342505	46058836.00
2012/07/30	1.57	1.61	1.52	1.55	2741158	54667768.00
2012/07/31	1.54	1.55	1.46	1.48	1579677	30477740.00
2012/08/01	1.49	1.64	1.49	1.64	2884029	58916044.00
2012/08/02	1.67	1.75	1.66	1.70	8044876	173138576.00
2012/08/03	1.70	1.79	1.70	1.75	6665247	148268736.00
2012/08/06	1.74	1.94	1.73	1.94	6715839	157059632.00
2012/08/07	2.01	2.04	1.90	1.91	12100788	299007904.00
2012/08/08	1.88	1.98	1.86	1.92	9531874	230818080.00
2012/08/09	1.86	1.90	1.82	1.89	7418519	174831776.00
2012/08/10	1.86	1.97	1.86	1.95	9133852	221915296.00
2012/08/13	1.95	2.02	1.87	1.90	9276812	225167680.00
2012/08/14	1.90	1.96	1.77	1.83	7288685	170293024.00
2012/08/15	1.80	1.88	1.78	1.84	5547316	127961232.00
2012/08/16	1.81	1.85	1.73	1.75	4390969	98741920.00
2012/08/17	1.75	1.83	1.73	1.82	4295826	97407552.00
2012/08/20	1.80	1.90	1.79	1.85	4401594	102949848.00
2012/08/21	1.84	2.04	1.84	2.04	9053900	226604272.00
2012/08/22	2.06	2.09	1.97	2.05	9643292	246309968.00
2012/08/23	2.04	2.17	2.03	2.05	7047725	185500064.00
2012/08/24	2.01	2.13	1.90	2.02	6414682	165083472.00
2012/08/27	2.00	2.09	1.94	2.02	5438395	138668784.00
2012/08/28	2.00	2.22	1.97	2.19	9121091	241867264.00
2012/08/29	2.22	2.29	2.12	2.14	8150251	225148096.00
2012/08/30	2.09	2.17	1.95	2.07	7418557	191836672.00
2012/08/31	2.06	2.12	2.02	2.08	4107302	106815016.00
2012/09/03	2.06	2.16	2.04	2.15	3714360	98317176.00
2012/09/04	2.14	2.27	2.10	2.10	6196666	170649872.00
2012/09/05	2.08	2.15	2.05	2.08	3833025	100567176.00
2012/09/06	2.06	2.10	2.05	2.08	2658752	69006728.00
2012/09/07	2.09	2.19	2.08	2.14	5709336	153073920.00
2012/09/10	2.13	2.22	2.06	2.21	5528544	148560704.00
2012/09/11	2.18	2.21	2.11	2.12	3618901	98206568.00
2012/09/12	2.13	2.20	2.11	2.16	2866945	77382888.00
2012/09/13	2.17	2.18	2.04	2.04	3617843	95384576.00
2012/09/14	2.06	2.06	1.96	2.00	3074744	77461816.00
2012/09/17	1.99	2.00	1.90	1.90	1784369	43811248.00
2012/09/18	1.91	2.01	1.91	1.97	2488466	61587424.00
2012/09/19	1.96	2.03	1.96	1.97	1952183	49068288.00
2012/09/20	1.95	1.98	1.89	1.94	1556739	37843924.00
2012/09/21	1.92	1.99	1.91	1.95	1544838	38222452.00
2012/09/24	1.94	2.03	1.92	2.02	1696518	42644784.00
2012/09/25	2.02	2.02	1.90	1.92	2406072	58999332.00
2012/09/26	1.91	1.94	1.84	1.93	2277989	54348048.00
2012/09/27	1.93	1.99	1.91	1.96	1209437	29958998.00
2012/09/28	1.94	1.99	1.94	1.97	996786	24726782.00
2012/10/08	1.97	2.04	1.95	2.01	1109635	28042132.00
2012/10/09	2.01	2.15	2.01	2.12	2057728	53769928.00
2012/10/10	2.13	2.17	2.09	2.13	1910972	51226948.00
2012/10/11	2.12	2.21	2.10	2.14	2069487	56222408.00
2012/10/12	2.14	2.19	2.11	2.15	1315470	35312220.00
2012/10/15	2.15	2.15	2.02	2.06	1604897	41670444.00
2012/10/16	2.07	2.11	2.04	2.09	955123	25020988.00
2012/10/17	2.10	2.10	2.05	2.06	498581	12962800.00
2012/10/18	2.06	2.10	2.05	2.07	873335	22807994.00
2012/10/19	2.07	2.07	2.02	2.03	1175509	30059096.00
2012/10/22	2.01	2.07	2.00	2.06	1204260	30673364.00
2012/10/23	2.06	2.07	2.03	2.04	666641	17003116.00
2012/10/24	2.02	2.10	2.02	2.08	1318042	34188596.00
2012/10/25	2.06	2.19	2.06	2.11	3092241	82557600.00
2012/10/26	2.09	2.15	1.91	1.96	4147520	105504416.00
2012/10/29	1.92	1.97	1.87	1.95	1576366	38007844.00
2012/10/30	1.93	1.98	1.93	1.96	971379	23830206.00
2012/10/31	1.96	1.97	1.93	1.97	986537	24115490.00
2012/11/01	1.96	2.01	1.96	2.00	692095	17210346.00
2012/11/02	1.99	2.01	1.94	1.98	1100725	27282136.00
2012/11/05	1.98	2.01	1.92	1.96	1294506	31462876.00
2012/11/06	1.94	1.97	1.91	1.96	707932	17136990.00
2012/11/07	1.94	1.99	1.94	1.97	547640	13554018.00
2012/11/08	1.95	1.98	1.95	1.96	841093	20666986.00
2012/11/09	1.95	1.98	1.92	1.97	445931	10948584.00
2012/11/12	1.97	1.97	1.82	1.82	1664513	39346548.00
2012/11/13	1.81	1.85	1.77	1.79	1338117	30318992.00
2012/11/14	1.80	1.83	1.78	1.83	509502	11509207.00
2012/11/15	1.81	1.82	1.73	1.76	982802	21928470.00
2012/11/16	1.75	1.76	1.71	1.75	724015	15810562.00
2012/11/19	1.73	1.78	1.72	1.78	483592	10583675.00
2012/11/20	1.78	1.78	1.74	1.77	362277	8038769.50
2012/11/21	1.77	1.80	1.76	1.79	413756	9240909.00
2012/11/22	1.78	1.91	1.77	1.85	1282782	29672450.00
2012/11/23	1.83	1.93	1.83	1.91	804109	19158250.00
2012/11/26	1.90	1.93	1.87	1.87	680759	16200015.00
2012/11/27	1.85	1.88	1.78	1.78	666635	15235893.00
2012/11/28	1.75	1.83	1.73	1.80	539670	12255903.00
2012/11/29	1.80	1.85	1.77	1.83	316637	7190142.50
2012/11/30	1.78	1.89	1.77	1.89	580698	13348442.00
2012/12/03	1.89	1.97	1.82	1.82	1429258	34024784.00
2013/02/05	2.01	2.01	2.01	2.01	28855	725703.25
2013/02/06	2.22	2.22	2.22	2.22	8765	242527.55
2013/02/07	2.45	2.45	2.45	2.45	232237	7069294.50
2013/02/08	2.66	2.70	2.61	2.70	6297000	207852672.00
2013/02/18	2.69	2.74	2.63	2.68	3466392	115518080.00
2013/02/19	2.66	2.72	2.57	2.71	2787747	91519416.00
2013/02/20	2.71	2.93	2.65	2.84	4864665	169038192.00
2013/02/21	2.82	2.82	2.69	2.70	2406956	81409648.00
2013/02/22	2.69	2.74	2.60	2.69	2035098	67386384.00
2013/02/25	2.67	2.86	2.67	2.80	2485365	85733496.00
2013/02/26	2.75	2.85	2.72	2.73	1518467	52153708.00
2013/02/27	2.83	2.89	2.74	2.78	1679716	58493284.00
2013/02/28	2.75	2.91	2.75	2.84	1860247	65442596.00
2013/03/01	2.83	2.97	2.81	2.96	2540518	91012176.00
2013/03/04	2.91	2.97	2.73	2.79	2210085	78371976.00
2013/03/05	2.80	2.89	2.76	2.89	1481926	51899796.00
2013/03/06	2.91	2.97	2.86	2.96	2367155	85990000.00
2013/03/07	2.96	2.96	2.69	2.76	2636488	92107336.00
2013/03/08	2.76	2.87	2.74	2.75	1253974	43610980.00
2013/03/11	2.71	2.79	2.70	2.72	1505118	51277348.00
2013/03/12	2.73	2.76	2.52	2.58	2166183	70153088.00
2013/03/13	2.55	2.65	2.55	2.63	904111	29185874.00
2013/03/14	2.63	2.68	2.61	2.62	880252	28786002.00
2013/03/15	2.66	2.68	2.54	2.63	1146783	37420388.00
2013/03/18	2.62	2.74	2.59	2.71	1586918	53012240.00
2013/03/19	2.71	2.73	2.66	2.70	680500	22627782.00
2013/03/20	2.71	2.76	2.69	2.75	902027	30505060.00
2013/03/21	2.77	2.90	2.76	2.84	1189078	41921804.00
2013/03/22	2.85	2.95	2.81	2.91	1349745	48283188.00
2013/03/25	2.92	2.93	2.86	2.90	884596	31634324.00
2013/03/26	2.87	3.01	2.78	3.00	2076108	74906048.00
2013/03/27	2.99	3.13	2.96	3.11	2253746	85267528.00
2013/03/28	3.15	3.15	2.98	2.98	1760538	66231912.00
2013/03/29	2.97	3.10	2.92	2.96	1184544	44082604.00
2013/04/01	2.92	3.10	2.90	3.09	1647836	61623828.00
2013/04/02	3.09	3.25	3.03	3.06	1800494	69837688.00
2013/04/03	3.02	3.15	2.97	3.09	972399	36713824.00
2013/04/08	3.00	3.06	2.99	3.06	2259930	84463336.00
2013/04/09	3.05	3.20	3.05	3.16	2235302	86767752.00
2013/04/10	3.16	3.16	3.01	3.10	1178543	44750668.00
2013/04/11	3.10	3.11	3.02	3.05	663867	25010638.00
2013/04/12	3.01	3.24	3.01	3.19	2425981	94996616.00
2013/04/15	3.17	3.22	3.10	3.17	1343743	52449464.00
2013/04/16	3.13	3.18	3.06	3.16	2126568	81889024.00
2013/04/17	3.16	3.39	3.12	3.34	4498961	184139056.00
2013/04/18	3.33	3.69	3.33	3.63	5447850	238978736.00
2013/04/19	3.74	4.01	3.67	4.01	5471512	260007376.00
2013/04/22	4.02	4.21	3.99	4.09	4907470	245406992.00
2013/04/23	4.06	4.09	3.92	4.03	3842968	189330528.00
2013/04/24	4.02	4.45	4.02	4.45	3664078	192542384.00
2013/04/25	4.72	4.90	4.54	4.65	7720080	447914528.00
2013/04/26	4.67	4.81	4.32	4.50	5989488	334645856.00
2013/05/02	4.38	4.76	4.27	4.56	4052054	222016480.00
