300496 中科创达 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2015/12/10	7.07	8.38	7.07	8.38	9301	310541.41
2015/12/11	9.24	9.24	9.24	9.24	4300	158498.00
2015/12/14	10.18	10.18	10.18	10.18	4000	162200.00
2015/12/15	11.22	11.22	11.22	11.22	1900	84759.00
2015/12/16	12.36	12.36	12.36	12.36	3200	157024.00
2015/12/17	13.62	13.62	13.62	13.62	4500	242910.00
2015/12/18	15.00	15.00	15.00	15.00	5100	302838.00
2015/12/21	16.52	16.52	16.52	16.52	6600	431112.00
2015/12/22	18.19	18.19	18.19	18.19	17500	1257375.00
2015/12/23	20.03	20.03	20.03	20.03	15600	1233024.00
2015/12/24	22.05	22.05	22.05	22.05	31600	2747304.00
2015/12/25	24.27	24.27	24.27	24.27	26750	2558102.50
2015/12/28	26.72	26.72	26.72	26.72	43375	4562616.00
2015/12/29	29.41	29.41	29.41	29.41	30308	3506938.75
2015/12/30	32.37	32.37	32.37	32.37	102035	12987015.00
2015/12/31	35.63	35.63	35.63	35.63	319949	44796060.00
2016/01/04	39.21	39.21	39.21	39.21	408325	62886132.00
2016/01/05	43.15	43.15	43.15	43.15	553106	93701688.00
2016/01/06	47.48	47.48	47.48	47.48	178920	33341742.00
2016/01/07	52.25	52.25	52.25	52.25	1072546	219861200.00
2016/01/08	57.37	57.49	54.81	57.49	14063382	3136574976.00
2016/01/11	55.58	58.60	51.73	51.73	10362965	2248737792.00
2016/01/12	49.72	55.88	46.53	48.82	9757640	1871133824.00
2016/01/13	49.66	53.73	46.53	50.46	10459446	2075177216.00
2016/01/14	48.16	51.68	45.86	51.49	8116740	1563911808.00
2016/01/15	53.92	56.35	50.46	50.46	7289354	1534045440.00
2016/01/18	47.36	55.45	46.11	54.53	7157330	1432239232.00
2016/01/19	53.02	59.62	52.31	57.63	8009976	1740247936.00
2016/01/20	56.35	57.59	51.85	51.85	8019589	1697381376.00
2016/01/21	50.72	51.86	46.64	46.64	6376125	1232946048.00
2016/01/22	45.91	48.63	44.30	46.75	5825771	1062423296.00
2016/01/25	46.88	49.31	45.65	47.14	4648219	864550912.00
2016/01/26	45.60	45.60	42.41	42.41	3898996	674135616.00
2016/01/27	40.73	42.81	39.60	41.10	4645129	746645248.00
2016/01/28	39.71	41.51	36.97	36.97	4144008	638251840.00
2016/01/29	37.70	40.68	37.68	39.65	4343139	669172736.00
2016/02/01	38.69	39.84	36.39	38.00	3704097	560076096.00
2016/02/02	37.77	41.82	37.68	41.25	4522843	727119104.00
2016/02/03	40.23	43.22	40.05	43.17	3660093	600909056.00
2016/02/04	44.04	47.08	43.55	45.15	3349403	594577408.00
2016/02/05	44.96	45.70	42.28	42.96	2724596	468244480.00
2016/02/15	41.00	42.53	40.36	41.84	2644033	427744928.00
2016/02/16	42.02	46.04	41.76	46.04	4136973	733565952.00
2016/02/17	45.91	47.54	45.17	47.13	3697998	669081472.00
2016/02/18	47.90	48.41	45.35	47.65	3587553	661739840.00
2016/02/19	48.24	52.43	48.24	52.43	3847841	762115968.00
2016/02/22	56.08	56.08	51.59	52.48	4538474	954924992.00
2016/02/23	52.48	57.51	52.04	54.56	4442802	957496448.00
2016/02/24	53.53	54.81	49.44	50.90	5398450	1101755392.00
2016/02/25	50.46	51.79	45.89	46.37	4209385	807084544.00
2016/02/26	47.36	49.50	45.92	48.30	3815460	714019648.00
2016/02/29	47.39	47.39	43.45	43.45	937826	163858512.00
2016/03/01	40.48	43.55	39.09	42.02	5741372	907855808.00
