300586 美联新材 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/01/04	11.93	13.19	11.93	13.19	3653	48821.89
2017/01/05	14.53	14.53	14.53	14.53	853	12564.69
2017/01/06	16.00	16.00	16.00	16.00	1600	25920.00
2017/01/09	17.62	17.62	17.62	17.62	4212	75057.84
2017/01/10	19.40	19.40	19.40	19.40	3493	68462.80
2017/01/11	21.36	21.36	21.36	21.36	7153	154218.69
2017/01/12	23.52	23.52	23.52	23.52	9212	218508.64
2017/01/13	25.89	25.89	25.89	25.89	75178	1961394.00
2017/01/16	28.50	28.50	28.50	28.50	172144	4940533.00
2017/01/17	31.37	31.37	31.37	31.37	204705	6462537.00
2017/01/18	34.53	34.53	34.53	34.53	88546	3075202.50
2017/01/19	35.40	35.50	31.20	31.80	14902446	488822368.00
2017/01/20	31.31	34.38	31.30	32.90	11629639	383152736.00
2017/01/23	32.93	34.98	32.55	33.90	8849121	300254208.00
2017/01/24	33.87	34.03	32.75	32.91	5943654	198436480.00
2017/01/25	32.84	35.08	32.82	34.24	6392140	218148816.00
2017/01/26	34.20	37.42	33.87	35.80	7287836	256854688.00
2017/02/03	35.81	36.46	35.00	35.69	5458246	196479968.00
2017/02/06	36.10	37.70	35.85	37.40	5695372	210516080.00
2017/02/07	36.93	37.40	36.31	36.81	4519495	167327376.00
2017/02/08	36.53	38.58	36.53	37.98	5097735	192801392.00
2017/02/09	37.59	38.48	37.25	37.77	4372721	166035952.00
2017/02/10	37.60	38.09	36.15	36.25	4308768	159904176.00
2017/02/13	36.30	39.10	36.27	38.20	4854782	184626736.00
2017/02/14	37.95	39.13	37.95	38.60	4305611	167356320.00
2017/02/15	38.50	40.67	38.50	38.75	7209740	285902752.00
2017/02/16	38.66	38.70	37.10	37.96	4474791	170656080.00
2017/02/17	37.95	38.78	36.50	36.77	4629642	174492080.00
2017/02/20	36.30	36.77	34.69	36.01	3531870	126544056.00
2017/02/21	35.94	37.20	35.92	36.87	2845695	105009840.00
2017/02/22	36.91	37.63	36.55	37.50	3494768	130875216.00
2017/02/23	37.20	39.60	37.16	39.29	4503043	174559136.00
2017/02/24	39.29	40.47	38.71	39.33	3950605	156651808.00
2017/02/27	39.01	43.28	39.01	43.28	10487976	448143488.00
2017/02/28	40.30	41.30	39.32	40.85	8923350	361233152.00
2017/03/01	40.37	40.85	39.48	39.81	4946639	198840608.00
2017/03/02	40.00	40.43	39.41	40.09	3960092	159096592.00
2017/03/03	39.99	40.55	39.51	40.55	3893420	157288160.00
2017/03/06	40.78	42.68	40.58	42.50	6168891	257471632.00
2017/03/07	42.75	43.00	41.87	42.75	5206413	221853984.00
2017/03/08	42.68	43.48	42.21	43.42	5560924	240165312.00
2017/03/09	43.48	43.50	41.47	41.62	4421416	187990208.00
2017/03/10	41.69	42.57	40.57	42.24	4983053	208908720.00
2017/03/13	42.29	43.97	41.68	43.52	6386552	274700320.00
2017/03/14	43.65	46.94	43.01	43.65	7126111	316482496.00
2017/03/15	43.77	43.87	42.80	43.20	4474163	194965776.00
2017/03/16	43.11	45.15	43.10	44.80	6361717	282046144.00
